"Metabolite","Log2FC","AveExpr","t","P.Value","adj.P.Val","B","Log2Transformed"
"acetylcarnitine",-0.432566808333332,5.96160849,-3.54375838235734,0.00175736278099469,0.156033643163047,-1.16110904842478,FALSE
"acetylcholine",0.0848597708333374,6.229074175,0.251225587380649,0.803898638778565,0.910438675461403,-5.92575524973369,FALSE
"acetylglycine",0.157840045833336,5.76356869,1.36651168074923,0.185154817436294,0.722065706826601,-5.08357447358003,FALSE
"aconitate",-0.127447645833334,5.9082364,-1.18152559162319,0.249617646805812,0.767896083722976,-5.29705401158715,FALSE
"adenine",0.0936795041666674,5.819529415,0.90431107944152,0.375322741845975,0.780488194251245,-5.56511694660477,FALSE
"adenosine",0.0263129250000027,6.030221655,0.111309151070361,0.91234898390346,0.979883583871828,-5.95045091585117,FALSE
"adipate",0.0499140708333332,5.840321505,0.580674177599498,0.567177487666839,0.868205045642314,-5.7933291810421,FALSE
"alanine",0.058624316666668,5.818558715,0.358425270549357,0.723335012485892,0.89915940885139,-5.89402322381722,FALSE
"allantoin",-0.147068362499999,5.785034045,-1.47652192223494,0.153534963642831,0.722065706826601,-4.94432614426337,FALSE
"alpha.glycerophosphate",-0.288459241666666,5.80032633,-1.62228396201603,0.118542705210367,0.672057543268584,-4.74649995876463,FALSE
"alpha.glycerophosphocholine",-0.380057358333332,5.825983235,-2.04200302868148,0.0529309603689747,0.579393747912754,-4.10023756956233,FALSE
"alpha.hydroxybutyrate",0.0414708541666702,5.7970432,0.505310572246251,0.618209128864462,0.868205045642314,-5.83269838654661,FALSE
"alpha.ketoglutarate",0.106047975000002,5.93717756,1.11244176297737,0.277584281901749,0.767896083722976,-5.36983375322221,FALSE
"AMP",0.0345036250000037,5.838322275,0.437142804905241,0.666135903330892,0.874573158921392,-5.86370701624836,FALSE
"anserine",0.00612032500000215,5.847879295,0.0579633716698545,0.954284736922955,0.986327843853534,-5.95485339145699,FALSE
"anthranilic.acid",-0.573772275,6.24255256,-3.68755509941443,0.00123729766510131,0.156033643163047,-0.850976989352204,FALSE
"arachidonyl_carnitine",0.0517635541666701,5.779710795,0.554773588156459,0.584471924351456,0.868205045642314,-5.80745846562266,FALSE
"arginine",-0.151282108333334,5.889837785,-1.5957155265458,0.124373588758417,0.672057543268584,-4.7836536778121,FALSE
"asparagine",-0.625436620833331,5.781932215,-2.81766634809118,0.00983695795840006,0.316187934377145,-2.67146832133942,FALSE
"aspartate",-0.118030024999996,5.82485171,-1.09418816936278,0.28534104959342,0.767896083722976,-5.38841382257688,FALSE
