"Gene","Log2FC"
"A1CF",0.959613002971987
"A2M",-0.419337043326033
"A2ML1",1.51205045699892
"AAAS",0.133520804928437
"AACS",0.258025475751764
"AADAT",-1.10211063275207
"AAGAB",-0.232307726876862
"AAK1",0.0807659097431152
"AAMDC",0.0751091358375589
"AAMP",0.121940711283407
"AAR2",0.156789014396231
"AARS",-0.22691812204826
"AARS2",-0.163631918885402
"AARSD1",-0.0515842398786605
"AASDH",NA
"AASDHPPT",-0.0852976550951934
"AASS",-0.0806779318139591
"AATF",-0.586969010973197
"ABAT",1.2232186533691
"ABCA1",-0.33491697121459
"ABCA10",-0.387569720278813
"ABCA12",1.54928137260566
"ABCA13",-0.950169257285308
"ABCA2",-0.0933261329039012
"ABCA3",-0.877452420152991
"ABCA4",NA
"ABCA5",NA
"ABCA7",-0.85156105472667
"ABCA8",NA
"ABCA9",NA
"ABCB1",-0.416952896227061
"ABCB10",-0.697039184508175
"ABCB11",-2.66799589073339
"ABCB4",-0.671276071947
"ABCB5",-0.469154759284615
"ABCB6",0.213084836116453
"ABCB7",-0.464866273916273
"ABCB8",0.291690777027347
"ABCC1",-0.501778947961325
"ABCC10",-0.444993774702597
"ABCC2",-1.56046804666349
"ABCC3",0.00114108200971175
"ABCC4",-0.546367745438277
"ABCC5",-0.322451864791549
"ABCC6",-0.667350805078949
"ABCC8",0.0176466474113178
"ABCD1",-0.11216023609376
"ABCD3",0.326533687343558
"ABCD4",-0.203853582142569
"ABCE1",0.0289236723463644
"ABCF1",0.0909406361938594
"ABCF2",0.0512851088331334
"ABCF3",-0.0966680981004594
"ABCG1",-0.354591554306223
"ABCG2",0.48411804392855
"ABHD10",-0.132420890273873
"ABHD11",0.568331677107152
"ABHD12",0.700417137564036
"ABHD13",0.228111564960015
"ABHD14A",0.87721143505944
"ABHD14B",-0.417998882869328
"ABHD15",-0.19853439685489
"ABHD16A",-0.0641610555890109
"ABHD17A",-0.584267019750611
"ABHD17B",-0.278507162234042
"ABHD17C",1.51556390044331
"ABHD2",0.35054169450406
"ABHD3",0.274590742661546
"ABHD4",0.0630959685837851
"ABHD5",0.447747948916262
"ABHD6",-0.361040757923722
"ABI1",-0.0560416345848689
"ABI2",-0.00369056423450145
"ABI3",NA
"ABI3BP",NA
"ABL1",0.190244411504166
"ABL2",0.38763517330971
"ABLIM1",0.376691977042282
"ABLIM2",-0.0195777932112487
"ABLIM3",0.279140263115039
"ABO",NA
"ABR",-0.011489906417966
"ABRACL",0.103037891477841
"ABRAXAS1",-0.353013110504979
"ABRAXAS2",-0.39868625076391
