"Gene","Log2FC","AveExpr","t","P.Value","adj.P.Val","B","Log2Transformed"
"A1CF",0.959613002971987,-0.00370187021674607,1.87018751364131,0.0851064454877439,0.606830105980209,-4.40667811737939,FALSE
"A2M",-0.419337043326033,-0.603399416834418,-0.666516034256696,0.514309473839034,0.884759996557007,-5.90558526722222,FALSE
"A2ML1",1.51205045699892,0.0411457435193547,0.91568541888921,0.388429352301472,0.841012099199475,-5.25906309648555,FALSE
"AAAS",0.133520804928437,0.0615800276961703,0.575165984583107,0.572952717960282,0.902251708309209,-5.96155314207019,FALSE
"AACS",0.258025475751764,-0.218249665086087,0.731186808912305,0.474939053417323,0.870905299057873,-5.86126531488555,FALSE
"AADAT",-1.10211063275207,-0.158840478059175,-1.86935566585015,0.101115620912696,0.619508455715601,-4.28951968123502,FALSE
"AAGAB",-0.232307726876862,-0.114292260474782,-0.817406499342838,0.425362301468863,0.849721295236156,-5.79624836603495,FALSE
"AAK1",0.0807659097431152,-0.0503485510840149,0.237733987538297,0.81501934154323,0.969818880348579,-6.0985507466844,FALSE
"AAMDC",0.0751091358375589,-0.176873103423532,0.181286890841757,0.858354412770467,0.979933307742618,-6.11047523558523,FALSE
"AAMP",0.121940711283407,-0.22112288521548,0.40934469370298,0.687560374660288,0.934461677838964,-6.04280453628898,FALSE
"AAR2",0.156789014396231,0.0963914192467173,0.602997170330184,0.554723111121671,0.897483816327123,-5.94533337282495,FALSE
"AARS",-0.22691812204826,-0.0793117263154648,-0.60895420642535,0.550861819589998,0.895358389529174,-5.941766546562,FALSE
"AARS2",-0.163631918885402,-0.0783926989436187,-0.690480255135495,0.49950712143503,0.880025151655505,-5.88961197161531,FALSE
"AARSD1",-0.0515842398786605,-0.00650203253936646,-0.182722605922021,0.857245752250603,0.979899887875883,-6.11021156490211,FALSE
"AASDH",NA,-0.450525074247319,NA,NA,NA,NA,FALSE
"AASDHPPT",-0.0852976550951934,-0.182491048737201,-0.335408113364243,0.741551192385921,0.948996157406242,-6.07039870067209,FALSE
"AASS",-0.0806779318139591,-0.249297905045056,-0.124182364095868,0.902673723952154,0.987691326575277,-6.11928098766177,FALSE
"AATF",-0.586969010973197,0.19040353008482,-2.47322288392847,0.0246196204588838,0.433699040374004,-3.51852129911266,FALSE
"ABAT",1.2232186533691,-0.544532659616577,2.14589659559268,0.047101322286125,0.517619007443831,-4.08685194289612,FALSE
"ABCA1",-0.33491697121459,-0.0658969513484596,-0.502247328758695,0.623049008747132,0.915947986729027,-5.93194445521084,FALSE
"ABCA10",-0.387569720278813,-0.176031484104014,-1.04136253860109,0.326512236146217,0.808943236744279,-5.18095277764593,FALSE
"ABCA12",1.54928137260566,-0.0514319361992429,2.17634005742992,0.0533985511659551,0.537567248984464,-3.93692867145738,FALSE
"ABCA13",-0.950169257285308,-0.221209588237932,-1.53055449265235,0.162323134507208,0.695281511074174,-4.67323735456428,FALSE
"ABCA2",-0.0933261329039012,-0.256756546417597,-0.24404042113395,0.810625395947863,0.969248154355911,-6.02833815799325,FALSE
"ABCA3",-0.877452420152991,0.220911731658546,-2.0471999840517,0.0580135498378759,0.547462995244534,-4.23218382718202,FALSE
"ABCA4",NA,NA,NA,NA,NA,NA,FALSE
"ABCA5",NA,-0.0106034065368525,NA,NA,NA,NA,FALSE
"ABCA7",-0.85156105472667,-0.313538102504182,-1.77001975732678,0.117334398391221,0.643676420713408,-4.41026474958709,FALSE
"ABCA8",NA,NA,NA,NA,NA,NA,FALSE
"ABCA9",NA,NA,NA,NA,NA,NA,FALSE
"ABCB1",-0.416952896227061,-0.488285951059026,-0.882825416417581,0.401686733380941,0.843542140099977,-5.31548112946131,FALSE
"ABCB10",-0.697039184508175,-0.0553894794230019,-2.35586347902607,0.031166457891418,0.463829139908293,-3.72668743959384,FALSE
"ABCB11",-2.66799589073339,-1.02178793033285,-3.1898309411065,0.0405503942637802,0.500076170870444,-3.48873768309334,FALSE
"ABCB4",-0.671276071947,-0.743148308711506,-1.5094522061734,0.160750590913477,0.693649810106101,-4.84824725973455,FALSE
"ABCB5",-0.469154759284615,0.35456426693779,-0.560917043587374,0.609051727487701,0.910827167170774,-5.11346715673447,FALSE
"ABCB6",0.213084836116453,0.14449844887496,0.398021791723623,0.695725411016323,0.937741284420474,-6.04737905754015,FALSE
"ABCB7",-0.464866273916273,0.14774165887898,-1.63051673627597,0.121963221638358,0.648964670936787,-4.88554473455499,FALSE
"ABCB8",0.291690777027347,0.120641276374631,0.793973770744277,0.438500260331907,0.854749888642022,-5.81458106527376,FALSE
"ABCC1",-0.501778947961325,0.314605908680895,-1.20524244836108,0.245139941904747,0.772046216830342,-5.42467884331333,FALSE
"ABCC10",-0.444993774702597,0.269041490914804,-1.10374901916666,0.296953225450914,0.799049710803922,-5.23134780821567,FALSE
"ABCC2",-1.56046804666349,0.894050264467818,-1.38262037710696,0.193104374676977,0.727683154965724,-5.04728664309154,FALSE
"ABCC3",0.00114108200971175,0.868903116315874,0.00185433411618736,0.998542729141217,0.999789663317131,-6.12707218906296,FALSE
"ABCC4",-0.546367745438277,0.310602693750639,-1.66077051514518,0.115673070912685,0.642266644959478,-4.84263989286764,FALSE
"ABCC5",-0.322451864791549,-0.231872978076752,-0.728167925263171,0.476735873633509,0.871712553412288,-5.86341973420344,FALSE
"ABCC6",-0.667350805078949,-0.221615274010952,-1.17877777063705,0.287192730553332,0.794026003475804,-4.92086633814954,FALSE
"ABCC8",0.0176466474113178,0.812684190333916,0.0298128736996432,0.976835079426308,0.996751066237021,-5.80490500310521,FALSE
"ABCD1",-0.11216023609376,-0.15746217754175,-0.194918780285719,0.847840503184735,0.97753321155321,-6.10788822123854,FALSE
"ABCD3",0.326533687343558,-0.064587032526585,1.19330118541979,0.249656457269308,0.773753137799412,-5.43794263469752,FALSE
"ABCD4",-0.203853582142569,0.176142982041477,-0.750046071420285,0.46380652786389,0.866797838952517,-5.84761827523973,FALSE
"ABCE1",0.0289236723463644,-0.18368472579513,0.0826715719541096,0.935109020086244,0.988680816651779,-6.12361921202492,FALSE
"ABCF1",0.0909406361938594,0.164973613328496,0.288907277145094,0.776256745135873,0.959663700211123,-6.08498559008663,FALSE
"ABCF2",0.0512851088331334,0.10416952092228,0.19055847237586,0.851200374536876,0.978123063616864,-6.10873600653843,FALSE
"ABCF3",-0.0966680981004594,-0.291972574549322,-0.228599206072264,0.82199439521293,0.970731245436982,-6.10069704503046,FALSE
"ABCG1",-0.354591554306223,0.313906488725903,-0.756460924919913,0.472547018354215,0.870529336190512,-5.37899219693804,FALSE
"ABCG2",0.48411804392855,1.2771760880664,0.391025492115812,0.701474855614988,0.938550710231802,-5.98147638904481,FALSE
"ABHD10",-0.132420890273873,-0.0883305777116898,-0.482922705100406,0.63550654198091,0.920570178076408,-6.01002977319972,FALSE
"ABHD11",0.568331677107152,-0.0643440423832922,1.49987529670792,0.152569542787422,0.682662016733495,-5.06426100598511,FALSE
"ABHD12",0.700417137564036,0.0386066449229735,2.61368008000393,0.0184921531259577,0.391316676033942,-3.26385910105957,FALSE
"ABHD13",0.228111564960015,-0.209503193117718,0.566666208529177,0.58185848297878,0.903901616857975,-5.7591613916635,FALSE
"ABHD14A",0.87721143505944,0.031124336723159,1.45097900263284,0.193470230834318,0.727989520460191,-4.71178021003809,FALSE
"ABHD14B",-0.417998882869328,-0.312624986657523,-1.18318463953661,0.253532308321717,0.775075988154143,-5.44909350552972,FALSE
"ABHD15",-0.19853439685489,0.365851400366518,-0.286699317570401,0.782130957654726,0.960138904768318,-5.66348649161477,FALSE
"ABHD16A",-0.0641610555890109,0.0886882423001995,-0.261757796071575,0.796753279631185,0.964574011207515,-6.09250789102301,FALSE
"ABHD17A",-0.584267019750611,-0.139024837909066,-1.53546603480208,0.149641249897643,0.679865883333683,-4.89188479891439,FALSE
"ABHD17B",-0.278507162234042,-0.112073303177573,-0.882812088249719,0.390848686487866,0.841857135456359,-5.70279673871353,FALSE
"ABHD17C",1.51556390044331,0.116290181447136,2.3070402914034,0.0450957632214307,0.513086470089033,-3.74095422638274,FALSE
"ABHD2",0.35054169450406,-0.674123686734953,0.492631190242234,0.641409065774055,0.923285603810086,-5.29737246799572,FALSE
"ABHD3",0.274590742661546,-0.196127523437894,0.83110050064218,0.422878236529408,0.849291115895745,-5.58089762259826,FALSE
"ABHD4",0.0630959685837851,-0.28599774155168,0.195012125629088,0.849979682116112,0.97793254689959,-5.74553290199814,FALSE
"ABHD5",0.447747948916262,-0.0259378963849762,1.00687447278363,0.336694465041658,0.816390851312531,-5.39534301206269,FALSE
"ABHD6",-0.361040757923722,-0.351976519870361,-0.996251666228359,0.333539044742248,0.81374499353323,-5.64048687185402,FALSE
"ABI1",-0.0560416345848689,-0.279145379644809,-0.260288944725963,0.797866726732838,0.964843771221842,-6.09289390658611,FALSE
"ABI2",-0.00369056423450145,-0.140741177944716,-0.0174345261585849,0.986299406919072,0.997395494485399,-6.12692025004156,FALSE
"ABI3",NA,-0.189803926785048,NA,NA,NA,NA,FALSE
"ABI3BP",NA,-0.44581342935981,NA,NA,NA,NA,FALSE
"ABL1",0.190244411504166,-0.241813254573997,0.617287536894284,0.546635666145967,0.894826758613109,-5.86825708491211,FALSE
"ABL2",0.38763517330971,-0.45379254875914,0.723649981055233,0.481658172318097,0.872660351192046,-5.76360917746633,FALSE
"ABLIM1",0.376691977042282,-0.174342150369248,0.903287756928492,0.379393972151271,0.836572876095447,-5.72490568678908,FALSE
"ABLIM2",-0.0195777932112487,-0.0829527936846325,-0.037941641467316,0.970334800334979,0.994972207374734,-5.97788672594277,FALSE
"ABLIM3",0.279140263115039,-0.0397624415912443,0.408213969126853,0.688710247263792,0.934987129181543,-6.00282750338108,FALSE
"ABO",NA,-0.535589363774509,NA,NA,NA,NA,FALSE
"ABR",-0.011489906417966,0.259683826402703,-0.0290869194724812,0.977144783880832,0.996751066237021,-6.12664618940532,FALSE
"ABRACL",0.103037891477841,-0.109147026273829,0.173528252621831,0.864350867717259,0.980685909260333,-6.11186427199873,FALSE
"ABRAXAS1",-0.353013110504979,0.289382545849914,-0.99439133222088,0.334416776534761,0.814604496892977,-5.64224801873159,FALSE
"ABRAXAS2",-0.39868625076391,-0.20768246897544,-1.36249923825833,0.191380842484293,0.726742266799241,-5.24001892453752,FALSE
"ABT1",-0.371534854213635,-0.0507365043003314,-1.24746091272675,0.229673692701678,0.757906410902222,-5.37691078530156,FALSE
"ABTB1",-1.42377860960446,-0.284266686589298,-1.70225639326359,0.17470303396852,0.709720721458856,-4.34806817416282,FALSE
"ABTB2",0.25161081840921,0.153136774871996,0.480303277702667,0.643169892608208,0.924638158320999,-5.64987587582255,FALSE
"ACAA1",0.700383899513029,0.245552543177444,1.93337180049504,0.0705666046804461,0.57889222793333,-4.43256084323265,FALSE
"ACAA2",-1.60939014620592,0.0351567693879985,-3.03219423121144,0.00772829799408968,0.303464799612447,-2.47737803330748,FALSE
"ACACA",-0.202255454960052,0.168396878386186,-0.666017833258112,0.514619832841618,0.884907233877433,-5.90591169073765,FALSE
"ACACB",-0.0209076484506089,0.0587878411128883,-0.0561659098855053,0.955885311006994,0.991779283981627,-6.12547916412908,FALSE
"ACAD10",0.00466526064703304,-0.0902594699146986,0.0187117015598015,0.985295882751273,0.997395494485399,-6.12689691015757,FALSE
"ACAD11",-0.395351345147331,-0.0975770732915994,-1.32258828512251,0.204042759083605,0.734194327316171,-5.28860636073766,FALSE
"ACAD8",0.717832603389997,0.404668572107375,1.92030898784289,0.0723052672021314,0.585244089744157,-4.45311406913242,FALSE
"ACAD9",-0.26838821174683,-0.11382597622466,-1.14994718177594,0.266588474329973,0.784774442323556,-5.48516852791836,FALSE
"ACADL",NA,-1.29033081933242,NA,NA,NA,NA,FALSE
"ACADM",0.441845592646154,0.0884646042411009,1.07516138853038,0.297799923663135,0.799049710803922,-5.56314129236785,FALSE
