"Gene","Log2FC"
"A1BG",0.0442044371558802
"A1CF",-0.0368743934267065
"A2M",0.255486306697117
"A2ML1",1.62638750965744
"A3GALT2",-0.0110137066532079
"A4GALT",0.656857481320831
"A4GNT",-0.0370662611898225
"AAAS",-0.19227382890822
"AACS",0.16025926485389
"AADAC",-0.732869494402669
"AADACL2",-0.0186289806195986
"AADACL3",0.00487439288115789
"AADACL4",0.0260882829621461
"AADAT",0.203235685542336
"AAGAB",0.0470446001671521
"AAK1",0.612713277400149
"AAMDC",0.114737019591398
"AAMP",0.256984664500087
"AANAT",0.243377332434891
"AAR2",0.531140499849498
"AARD",-0.155120769978058
"AARS",0.102921529313332
"AARS2",0.101017370606448
"AARSD1",0.219208768260254
"AASDH",0.88457575361953
"AASDHPPT",0.215255425106052
"AASS",-0.265894934492955
"AATF",0.0574246171129282
"AATK",0.543970545151165
"ABAT",0.965217803769153
"ABCA1",0.590269378610646
"ABCA10",-0.117510427550408
"ABCA12",1.30872585275672
"ABCA13",0.883216686541826
"ABCA2",0.547027521169454
"ABCA3",-0.879038612257558
"ABCA4",0.459526435656174
"ABCA5",0.411673190090706
"ABCA6",-0.00220170505922418
"ABCA7",0.151936356264624
"ABCA8",-0.495751732312338
"ABCA9",0.100055495385487
"ABCB1",-0.346477809598471
"ABCB10",-0.959612907738325
"ABCB11",0.511148429118685
"ABCB4",-0.133575931705352
"ABCB5",0.00997487667453234
"ABCB6",0.293450488279917
"ABCB7",-0.724189458839204
"ABCB8",1.07068891045229
"ABCB9",1.0635361799419
"ABCC1",0.208401538611298
"ABCC10",0.506484125279851
"ABCC11",0.316318841208475
"ABCC12",0.0349256546710053
"ABCC2",-0.387261134841571
"ABCC3",0.742666298930958
"ABCC4",-0.6645072022676
"ABCC5",0.417151229851347
"ABCC6",0.255574325878178
"ABCC8",-0.22540753553419
"ABCC9",-0.296438796445131
"ABCD1",0.755343255356197
"ABCD2",-0.430754228402689
"ABCD3",-0.380885939399831
"ABCD4",0.49797174816527
"ABCE1",-0.27019414878623
"ABCF1",-0.273024496326467
"ABCF2",0.00530923835184982
"ABCF3",1.23922397715539
"ABCG1",0.314257392366955
"ABCG2",0.282542125573045
"ABCG4",-0.073789463373397
"ABCG5",0.00585348380542194
"ABCG8",-0.0476277675288186
"ABHD1",0.6991581674246
"ABHD10",0.0368092269674717
"ABHD11",1.03055213518504
"ABHD12",1.41153069253765
"ABHD12B",-0.567589546696364
"ABHD13",-0.317744596312845
"ABHD14A",0.973705715655962
"ABHD14B",0.0712048957706342
"ABHD15",0.365234211389168
"ABHD16A",0.168631395263334
"ABHD16B",-0.096311149973473
"ABHD17A",0.281732671283904
"ABHD17B",-0.0233201241049259
"ABHD17C",0.989962685111864
"ABHD18",0.290064818332618
"ABHD2",-0.0884341447056179
"ABHD3",0.417569796977451
