"type","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"GSE12790","Pearson.est","EGFR inhibitor",-0.77405,-2.05,0.00829,1317,0.0725,"WZ8040, PD.153035, ARRY.334543, brigatinib, vandetanib, rociletinib, PD.168393, osimertinib, lapatinib, BMS.690514, neratinib, gefitinib, afatinib, pelitinib, AZD8931, dacomitinib, XL.647, canertinib, erlotinib, icotinib, poziotinib",2.08144546944973,1.13966199342901,TRUE
"GSE12790","Pearson.est","Abl kinase inhibitor",-0.71056,-1.89,0.0327,1270,0.0717,"metatinib, GZD824, bosutinib, ZM.306416, ponatinib, dasatinib",1.48545224733971,1.1444808443322,TRUE
"GSE12790","Pearson.est","acetylcholine receptor agonist",0.52038,1.29,0.175,586,0.658,"nefiracetam, nicotine, xanomeline, pilocarpine",0.756961951313706,0.181774106386044,FALSE
"GSE12790","Pearson.est","acetylcholine receptor antagonist",0.53465,1.33,0.145,42,0.706,"diphemanil",0.838631997765025,0.151195298948196,FALSE
"GSE12790","Pearson.est","adenosine receptor antagonist",0.78673,1.97,0.00159,287,0.025,"istradefylline, MRS.1220, SCH.58261, sulmazole, PSB.1115",2.79860287567955,1.60205999132796,TRUE
"GSE12790","Pearson.est","adrenergic receptor agonist",-0.30286,-0.786,0.688,434,0.889,"buphenine, metaraminol, xylazine, isoetharine, lidamidine, oxymetazoline, isoxsuprine, ritodrine, norepinephrine, methyldopa, midodrine, epinephrine, terbutaline, clenbuterol, A61603",0.162411561764489,0.0510982390297863,FALSE
"GSE12790","Pearson.est","adrenergic receptor antagonist",0.3795,0.919,0.561,226,0.853,"practolol, oxprenolol, dihydroergocristine, metoprolol",0.251037138743839,0.069050968832477,FALSE
"GSE12790","Pearson.est","AKT inhibitor",0.52174,1.27,0.191,322,0.628,"ONC201, GSK2110183, GDC.0068, MK.2206, uprosertib, palomid.529",0.718966632752272,0.202040356262804,FALSE
"GSE12790","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.48325,-1.27,0.177,1322,0.567,"AP26113, NVP.TAE684, brigatinib, GW.788388",0.752026733638193,0.246416941107093,FALSE
"GSE12790","Pearson.est","androgen receptor antagonist",0.34072,0.839,0.663,608,0.933,"enzalutamide, flutamide, nilutamide, RU.58841",0.178486471595227,0.0301183562535,FALSE
"GSE12790","Pearson.est","antioxidant",0.38019,0.943,0.511,301,0.858,"benfotiamine, trolox",0.291579099865287,0.0665127121512946,FALSE
"GSE12790","Pearson.est","AP inhibitor",-0.25432,-0.693,0.836,1096,0.922,"LCL.161, birinapant, GDC.0152",0.0777937225609836,0.0352690789463706,FALSE
"GSE12790","Pearson.est","ATPase inhibitor",0.26548,0.659,0.883,485,0.921,"oligomycin.a, digoxin, rabeprazole, blebbistatin...., evodiamine, NMS.873",0.0540392964224314,0.0357403698031511,FALSE
"GSE12790","Pearson.est","Aurora kinase inhibitor",0.46741,1.16,0.285,442,0.708,"CCT137690, PHA.680632, AT.9283, SNS.314, ZM.447439, barasertib, barasertib.HQPA, CCT129202, AMG900, aurora.a.inhibitor.i",0.54515513999149,0.149966742310231,FALSE
"GSE12790","Pearson.est","bacterial 50S ribosomal subunit inhibitor",-0.20764,-0.569,0.962,299,0.946,"valnemulin, azalomycin.b, radezolid, tilmicosin, josamycin, dirithromycin, azithromycin, tedizolid",0.0168249279621871,0.0241088635982073,FALSE
"GSE12790","Pearson.est","bacterial DNA gyrase inhibitor",0.28154,0.682,0.806,233,0.932,"nadifloxacin, norfloxacin",0.0936649581949093,0.0305840876460186,FALSE
"GSE12790","Pearson.est","BCL inhibitor",0.47477,1.16,0.28,493,0.708,"gossypol, TW.37, venetoclax, ABT.737, oridonin",0.552841968657781,0.149966742310231,FALSE
"GSE12790","Pearson.est","Bcr.Abl kinase inhibitor",-0.70404,-1.86,0.0148,1270,0.0754,"metatinib, GZD824, bosutinib, ponatinib, dasatinib",1.82973828460504,1.12262865413023,TRUE
"GSE12790","Pearson.est","benzodiazepine receptor agonist",0.34409,0.844,0.656,602,0.949,"zaleplon, ZK.93423, lorazepam, nefiracetam, eprinomectin, temazepam, gamma.aminobutyric.acid, piperazine",0.18309616062434,0.0227337875727074,FALSE
"GSE12790","Pearson.est","bromodomain inhibitor",0.87421,2.16,0,81,0.00308,"I.BET151, PFI.1, OTX015, JQ1...., bromosporine",Inf,2.51144928349956,TRUE
"GSE12790","Pearson.est","calcium channel blocker",0.45908,1.12,0.309,449,0.739,"fendiline, tetrandrine, carboxyamidotriazole, SR.33805, mibefradil",0.510041520575165,0.131355561605174,FALSE
"GSE12790","Pearson.est","CC chemokine receptor antagonist",0.42896,1.05,0.383,518,0.867,"PF.04136309, ZK811752, UNBS.5162, MK.0812",0.416801226031377,0.0619809025237897,FALSE
"GSE12790","Pearson.est","CDK inhibitor",0.30255,0.741,0.777,162,0.955,"arcyriaflavin.a, NU6027, TG.02, abemaciclib, kenpaullone",0.109578981199086,0.0199966284162537,FALSE
"GSE12790","Pearson.est","CHK inhibitor",-0.86081,-2.27,0,1341,0.0143,"CHIR.124, AZD7762, LY2603618, SCH.900776, LY2606368",Inf,1.84466396253494,TRUE
"GSE12790","Pearson.est","cyclooxygenase inhibitor",0.49159,1.21,0.272,217,0.66,"naproxen, meloxicam, tepoxalin, piroxicam, sulfasalazine, pterostilbene, FR.122047",0.565431095965801,0.180456064458131,FALSE
"GSE12790","Pearson.est","cytochrome P450 inhibitor",0.32499,0.809,0.709,124,0.936,"cobicistat",0.149353764816933,0.0287241512618947,FALSE
"GSE12790","Pearson.est","DNA alkylating agent",0.35347,0.848,0.652,529,0.967,"dianhydrogalactitol, TH.302, mitomycin.c, melphalan, satraplatin, carmustine, streptozotocin, carboplatin",0.18575240426808,0.0145735259169983,FALSE
"GSE12790","Pearson.est","DNA inhibitor",0.59916,1.48,0.0774,339,0.474,"pibenzimol, mechlorethamine, chlorambucil, bendamustine, oxaliplatin, tirapazamine, melphalan, primaquine, valrubicin",1.11125903931711,0.324221658325915,FALSE
"GSE12790","Pearson.est","DNA methyltransferase inhibitor",-0.30427,-0.788,0.724,1288,0.925,"azacitidine, decitabine",0.140261433802853,0.0338582672609674,FALSE
"GSE12790","Pearson.est","DNA polymerase inhibitor",0.54988,1.36,0.137,60,0.679,"famciclovir, idoxuridine",0.863279432843593,0.168130225719498,FALSE
"GSE12790","Pearson.est","DNA synthesis inhibitor",0.28992,0.709,0.819,341,0.936,"azodicarbonamide, artemisinin, mitomycin.c, enocitabine, artesunate, CB.10.277",0.0867160982395816,0.0287241512618947,FALSE
"GSE12790","Pearson.est","dopamine receptor antagonist",0.25736,0.625,0.906,475,0.918,"nemonapride, UH.232...., sertindole, lurasidone, amisulpride, paliperidone, remoxipride",0.0428718023231869,0.0371573187987575,FALSE
"GSE12790","Pearson.est","estrogen receptor agonist",-0.34653,-0.935,0.499,499,0.974,"equol, estrone, ethinyl.estradiol, estradiol, PPT, erteberel, estradiol.cypionate, levonorgestrel",0.30189945437661,0.0114410431213845,FALSE
"GSE12790","Pearson.est","estrogen receptor antagonist",0.64005,1.55,0.0616,354,0.421,"fulvestrant, toremifene, danazol",1.21041928783557,0.375717904164332,FALSE
"GSE12790","Pearson.est","FGFR inhibitor",0.27439,0.675,0.851,389,0.921,"nintedanib, orantinib, regorafenib, dovitinib",0.0700704399154121,0.0357403698031511,FALSE
"GSE12790","Pearson.est","FLT3 inhibitor",0.39322,0.973,0.47,303,0.852,"TG.101348, TG.02, sorafenib, GTP.14564, pacritinib, quizartinib",0.327902142064283,0.0695604052332999,FALSE
"GSE12790","Pearson.est","glucocorticoid receptor agonist",0.31067,0.767,0.745,627,0.959,"halcinonide, rimexolone, deflazacort, beclomethasone.dipropionate, prednisolone, fluticasone.propionate, triamcinolone, clobetasol.propionate, difluprednate, halobetasol.propionate, ciclesonide, dexamethasone.acetate, methylprednisolone, flumethasone.pivalate",0.127843727251707,0.0181813928293364,FALSE
"GSE12790","Pearson.est","glutamate receptor antagonist",0.39642,0.981,0.488,156,0.893,"ACDPP, IEM1754, CPP",0.311580177997289,0.0491485411114536,FALSE
"GSE12790","Pearson.est","glycogen synthase kinase inhibitor",0.50565,1.23,0.239,463,0.651,"kenpaullone, CHIR.99021, AZD2858, GSK.3.inhibitor.IX",0.621602099051862,0.186419011431808,FALSE
"GSE12790","Pearson.est","growth factor receptor inhibitor",-0.48176,-1.28,0.207,1082,0.61,"AZD3463, GSK1838705A, GSK1904529A, lestaurtinib, PHA.848125",0.684029654543082,0.214670164989233,FALSE
"GSE12790","Pearson.est","HCV inhibitor",0.51816,1.27,0.197,403,0.628,"narlaprevir, embelin, mericitabine",0.705533773838407,0.202040356262804,FALSE
"GSE12790","Pearson.est","HDAC inhibitor",0.55627,1.39,0.134,365,0.657,"PCI.24781, M.344, dacinostat, entinostat, SB.939, RG2833, R306465, scriptaid, RGFP966, givinostat, AR.42, ACY.1215, resminostat, trichostatin.a",0.872895201635192,0.182434630440219,FALSE
"GSE12790","Pearson.est","histamine receptor antagonist",0.19855,0.495,0.976,351,0.98,"ICI.162846, cyproheptadine, epinastine, lafutidine",0.0105501823333082,0.00877392430750515,FALSE
"GSE12790","Pearson.est","HMGCR inhibitor",-0.35229,-0.907,0.543,508,0.822,"simvastatin, atorvastatin, mevastatin, lovastatin, pitavastatin, fluvastatin",0.265200170411153,0.0851281824599496,FALSE
"GSE12790","Pearson.est","HSP inhibitor",-0.71686,-1.9,0.0135,1227,0.0806,"KW.2478, VER.49009, alvespimycin, XL888, PU.H71, SNX.5422, NVP.AUY922, ganetespib, BIIB021",1.86966623150499,1.09366495819491,TRUE
"GSE12790","Pearson.est","JAK inhibitor",0.28069,0.695,0.839,278,0.935,"TG.101348, TG.02, AT.9283, pacritinib",0.0762380391712997,0.0291883891274822,FALSE
"GSE12790","Pearson.est","KIT inhibitor",-0.35009,-0.918,0.52,1380,0.894,"cediranib, dasatinib",0.283996656365201,0.0486624812040823,FALSE
"GSE12790","Pearson.est","MDM inhibitor",0.88974,2.14,0,165,0.00205,"nutlin.3, CGM097, idasanutlin, RITA, AMG.232, serdemetan",Inf,2.68824613894425,TRUE
"GSE12790","Pearson.est","MEK inhibitor",-0.73195,-1.95,0.00798,1344,0.0977,"PD.0325901, PD.184352, Ro.4987655, AS.703026, TAK.733, cobimetinib, PD.318088, selumetinib, refametinib, AZD8330, trametinib",2.09799710864927,1.01010543628123,TRUE
"GSE12790","Pearson.est","MET inhibitor",-0.61626,-1.62,0.0528,1352,0.201,"PF.04217903, INC.280, LY2801653",1.27736607746619,0.696803942579511,FALSE
"GSE12790","Pearson.est","microtubule inhibitor",-0.42511,-1.11,0.329,1042,0.705,"vinflunine, colchicine, estramustine.phosphate, vinblastine, cabazitaxel, podophyllotoxin, cytochalasin.b",0.482804102050026,0.151810883008601,FALSE
"GSE12790","Pearson.est","mTOR inhibitor",0.39439,0.99,0.453,401,0.904,"WYE.125132, LY303511, PI.103, PKI.179, deforolimus, ku.0063794, WYE.354, palomid.529, torin.2, XL388, torin.1",0.343901797987168,0.0438315695246367,FALSE
"GSE12790","Pearson.est","NFkB pathway inhibitor",0.32301,0.796,0.728,77,0.935,"tyloxapol, EVP4593",0.137868620686963,0.0291883891274822,FALSE
"GSE12790","Pearson.est","opioid receptor agonist",-0.35735,-0.968,0.482,1257,0.962,"spiradoline, ADL5859",0.31695296176115,0.0168249279621871,FALSE
"GSE12790","Pearson.est","p38 MAPK inhibitor",0.25948,0.638,0.892,399,0.924,"SB.242235, skepinone.l",0.0496351456238769,0.0343280287798933,FALSE
"GSE12790","Pearson.est","PARP inhibitor",0.54017,1.32,0.153,146,0.68,"PJ.34, AZD2461, AG.14361",0.815308569182401,0.167491087293764,FALSE
"GSE12790","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",-0.24526,-0.665,0.893,1291,0.891,"CP.673451, SU014813, ponatinib, dasatinib",0.0491485411114536,0.0501222959631252,FALSE
"GSE12790","Pearson.est","phosphatase inhibitor",0.4579,1.14,0.325,366,0.723,"GSK2830371, mycophenolate.mofetil, CID.5458317, AS.1949490",0.488116639021126,0.140861702705469,FALSE
"GSE12790","Pearson.est","phosphodiesterase inhibitor",-0.34456,-0.916,0.523,1136,0.849,"papaverine, anagrelide, zardaverine, YM.976",0.281498311132726,0.0710923097560473,FALSE
"GSE12790","Pearson.est","PI3K inhibitor",0.29997,0.76,0.771,239,0.947,"YM.201636, LY303511, CUDC.907, PI.103, PKI.179, BGT226",0.112945621949043,0.0236500209967266,FALSE
"GSE12790","Pearson.est","PLK inhibitor",-0.43132,-1.13,0.313,1025,0.724,"BI.2536, GW.843682X, NMS.1286937, GSK461364, rigosertib",0.504455662453552,0.140261433802853,FALSE
"GSE12790","Pearson.est","potassium channel blocker",0.5208,1.3,0.189,151,0.682,"oleoylethanolamide",0.723538195826756,0.166215625343521,FALSE
"GSE12790","Pearson.est","PPAR receptor agonist",0.62978,1.53,0.0661,227,0.408,"GW.501516, oleoylethanolamide, ciprofibrate, pterostilbene, clofibrate",1.17979854051436,0.38933983691012,FALSE
"GSE12790","Pearson.est","progesterone receptor agonist",-0.30025,-0.798,0.694,1335,0.95,"levonorgestrel, dienogest",0.158640529545145,0.0222763947111523,FALSE
"GSE12790","Pearson.est","proteasome inhibitor",0.41098,1.01,0.429,43,0.924,"MG.132, oprozomib",0.367542707815276,0.0343280287798933,FALSE
"GSE12790","Pearson.est","protein synthesis inhibitor",0.39942,0.998,0.458,167,0.918,"clofoctol, azomycin..2.nitroimidazole., mercaptopurine, anguidine",0.339134521996131,0.0371573187987575,FALSE
"GSE12790","Pearson.est","protein tyrosine kinase inhibitor",-0.25697,-0.678,0.814,1248,0.907,"AV.412, NVP.TAE226, PP.121",0.0893755951107988,0.0423927129399047,FALSE
"GSE12790","Pearson.est","RAF inhibitor",0.39016,0.955,0.5,465,0.861,"sorafenib, TAK.632, regorafenib, GDC.0879, PLX.4720",0.301029995663981,0.0649968485463452,FALSE
