"Drug_set","mean_NES","sd_NES","Fisher_p","types","N_types","N_sig","sig_types","adj_Fisher_p"
"MDM inhibitor",1.86666666666667,0.265015722804013,0.000475898353953111,"transcriptomics, proteomics, metabolomics",3,2,"transcriptomics, metabolomics",0.012849255556734
"HMGCR inhibitor",1.82,0.252388589282479,1.52209119223203e-05,"transcriptomics, proteomics, metabolomics",3,2,"transcriptomics, proteomics",0.00123289386570794
"PLK inhibitor",1.62666666666667,0.239652526240249,0.000410344949248524,"transcriptomics, proteomics, metabolomics",3,2,"transcriptomics, proteomics",0.012849255556734
"microtubule inhibitor",1.54666666666667,0.245424801789333,0.00334884736346567,"transcriptomics, proteomics, metabolomics",3,1,"transcriptomics",0.0678141591101799
"Aurora kinase inhibitor",1.45333333333333,0.089628864398325,0.0135858996870902,"transcriptomics, proteomics, metabolomics",3,0,"",0.176684580818349
"tubulin polymerization inhibitor",1.43333333333333,0.243378991150291,0.0174503289697135,"transcriptomics, proteomics, metabolomics",3,0,"",0.176684580818349
"sterol demethylase inhibitor",1.35333333333333,0.0665832811847939,0.0586291436870008,"transcriptomics, proteomics, metabolomics",3,0,"",0.285565558753444
"acetylcholine receptor agonist",1.31333333333333,0.0776745346515402,0.0817710395821918,"transcriptomics, proteomics, metabolomics",3,0,"",0.287976269832936
"protein synthesis inhibitor",1.31333333333333,0.150111069989303,0.0760879765060129,"transcriptomics, proteomics, metabolomics",3,0,"",0.285565558753444
"PARP inhibitor",1.29666666666667,0.181475434517549,0.0671557019171678,"transcriptomics, proteomics, metabolomics",3,0,"",0.285565558753444
"RAF inhibitor",1.28733333333333,0.518711223450325,0.0172805979005271,"transcriptomics, proteomics, metabolomics",3,0,"",0.176684580818349
"DNA polymerase inhibitor",1.20666666666667,0.198578280114753,0.15892160326282,"transcriptomics, proteomics, metabolomics",3,0,"",0.433447304602584
"serotonin receptor agonist",1.203,0.341214009091069,0.135379131943202,"transcriptomics, proteomics, metabolomics",3,0,"",0.421758064899977
"topoisomerase inhibitor",1.178,0.532326967192157,0.0775610159577255,"transcriptomics, proteomics, metabolomics",3,0,"",0.285565558753444
"ATPase inhibitor",1.17666666666667,0.228108161479008,0.21362467604965,"transcriptomics, proteomics, metabolomics",3,0,"",0.500845418127828
"DNA synthesis inhibitor",1.17033333333333,0.295398600764007,0.182965639853951,"transcriptomics, proteomics, metabolomics",3,0,"",0.463131775880312
"growth factor receptor inhibitor",1.16666666666667,0.240069434400411,0.210093890642291,"transcriptomics, proteomics, metabolomics",3,0,"",0.500845418127828
"AP inhibitor",1.13266666666667,0.190161335011441,0.308401804743253,"transcriptomics, proteomics, metabolomics",3,0,"",0.624513654605088
"androgen receptor antagonist",1.084,0.326827171453048,0.266823887159565,"transcriptomics, proteomics, metabolomics",3,0,"",0.584127969187156
"DNA inhibitor",1.08366666666667,0.190500218722534,0.352669787379634,"transcriptomics, proteomics, metabolomics",3,0,"",0.6382960627833
"serotonin receptor antagonist",1.04566666666667,0.340288603002412,0.373247133137964,"transcriptomics, proteomics, metabolomics",3,0,"",0.6382960627833
"CC chemokine receptor antagonist",1.04066666666667,0.364117197250189,0.326759399681463,"transcriptomics, proteomics, metabolomics",3,0,"",0.630178842242821
"opioid receptor agonist",1.02533333333333,0.306496873284759,0.416660861555529,"transcriptomics, proteomics, metabolomics",3,0,"",0.649029418961496
"bromodomain inhibitor",1.00833333333333,0.388469217999745,0.428500966234831,"transcriptomics, proteomics, metabolomics",3,0,"",0.650446257698751
"NFkB pathway inhibitor",1.00066666666667,0.383198816977993,0.481197439749004,"transcriptomics, proteomics, metabolomics",3,0,"",0.696017725351238
