"Feature_set","mean_NES","sd_NES","Fisher_p","types","N_types","N_sig","sig_types","adj_Fisher_p"
"KEGG_STEROID_BIOSYNTHESIS",1.9,0.169705627484771,0.000403602642045254,"transcriptomics, proteomics",2,0,"",0.0468844372052426
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",1.89,0.0565685424949237,NA,"transcriptomics, proteomics",2,0,"",NA
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",1.735,0.00707106781186548,0.00245538650670493,"transcriptomics, proteomics",2,0,"",0.109264699548369
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",1.65,0.014142135623731,0.00385509253353448,"transcriptomics, proteomics",2,0,"",0.114367745161523
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES",1.645,0.0636396103067892,0.00344233335595883,"transcriptomics, proteomics",2,0,"",0.114367745161523
"KEGG_SULFUR_METABOLISM",1.605,0.00707106781186548,0.00931186615149577,"transcriptomics, proteomics",2,0,"",0.207189021870781
"KEGG_O_GLYCAN_BIOSYNTHESIS",1.565,0.205060966544099,0.0120534449875588,"transcriptomics, proteomics",2,0,"",0.238390356420608
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",1.425,0.332340187157677,0.0430064044702375,"transcriptomics, proteomics",2,0,"",0.425285555316793
"KEGG_DORSO_VENTRAL_AXIS_FORMATION",1.405,0.190918830920368,0.0410846691086638,"transcriptomics, proteomics",2,0,"",0.425285555316793
"KEGG_THYROID_CANCER",1.355,0.318198051533946,0.0544434400050243,"transcriptomics, proteomics",2,0,"",0.484546616044716
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",1.345,0.37476659402887,0.0745638809028388,"transcriptomics, proteomics",2,0,"",0.545777510978103
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",1.34,0.0989949493661166,0.0677131366593113,"transcriptomics, proteomics",2,0,"",0.545777510978103
"KEGG_CIRCADIAN_RHYTHM_MAMMAL",1.335,0.176776695296637,0.0746072817526767,"transcriptomics, proteomics",2,0,"",0.545777510978103
"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS",1.325,0.148492424049175,0.0853738802461666,"transcriptomics, proteomics",2,0,"",0.545777510978103
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",1.31,0.226274169979695,0.0860320137928286,"transcriptomics, proteomics",2,0,"",0.545777510978103
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",1.31,0.127279220613579,0.092868801083374,"transcriptomics, proteomics",2,0,"",0.545777510978103
"KEGG_AXON_GUIDANCE",1.305,0.0212132034355964,0.0852058335410343,"transcriptomics, proteomics",2,0,"",0.545777510978103
"KEGG_VEGF_SIGNALING_PATHWAY",1.3,0.29698484809835,0.0950511395523663,"transcriptomics, proteomics",2,0,"",0.545777510978103
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",1.27,0.0424264068711929,0.110726283843314,"transcriptomics, proteomics",2,0,"",0.545819606787798
"KEGG_STARCH_AND_SUCROSE_METABOLISM",1.27,0.0424264068711929,0.105356424877823,"transcriptomics, proteomics",2,0,"",0.545819606787798
"KEGG_TIGHT_JUNCTION",1.2605,0.409414826307011,0.124622555264086,"transcriptomics, proteomics",2,0,"",0.567541355057078
"KEGG_GALACTOSE_METABOLISM",1.2515,0.379716341497176,0.0726700593454944,"transcriptomics, proteomics",2,0,"",0.545777510978103
"KEGG_N_GLYCAN_BIOSYNTHESIS",1.245,0.148492424049175,0.134536913733872,"transcriptomics, proteomics",2,0,"",0.567541355057078
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",1.245,0.205060966544099,0.118780292633349,"transcriptomics, proteomics",2,0,"",0.556391897072001
"KEGG_ETHER_LIPID_METABOLISM",1.235,0.162634559672906,0.145448350116678,"transcriptomics, proteomics",2,0,"",0.567541355057078
"KEGG_BLADDER_CANCER",1.22,0.141421356237309,0.156190751615226,"transcriptomics, proteomics",2,0,"",0.567541355057078
"KEGG_ARACHIDONIC_ACID_METABOLISM",1.22,0.127279220613579,0.16804627420103,"transcriptomics, proteomics",2,0,"",0.567541355057078
"KEGG_CELL_ADHESION_MOLECULES_CAMS",1.215,0.190918830920368,0.183530818786936,"transcriptomics, proteomics",2,0,"",0.583407242805475
"KEGG_ADHERENS_JUNCTION",1.185,0.205060966544099,0.195575827077939,"transcriptomics, proteomics",2,0,"",0.583407242805475
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",1.185,0.247487373415292,0.169566361341902,"transcriptomics, proteomics",2,0,"",0.567541355057078
"KEGG_ECM_RECEPTOR_INTERACTION",1.18,0.0424264068711929,0.185441370597637,"transcriptomics, proteomics",2,0,"",0.583407242805475
"KEGG_PPAR_SIGNALING_PATHWAY",1.175,0.0353553390593274,0.196654126788362,"transcriptomics, proteomics",2,0,"",0.583407242805475
