"Gene","Log2FC"
"A1BG",0.122732803330086
"A1BG-AS1",-0.692704038428339
"A1CF",-0.386461227542601
"A2M",-0.54948569347626
"A2M-AS1",0.403523074957423
"A2ML1",1.26309682948224
"A2MP1",0.545545625388718
"A4GALT",0.421692150170746
"A4GNT",-0.105567393349095
"AA06",0.66550063427909
"AAAS",-0.384561984277299
"AACS",0.0246537128123574
"AACSP1",0.881019238788899
"AADAC",2.61424622282599
"AADACL2",0.659370076908572
"AADACP1",3.54360590573153
"AADAT",0.122265458293263
"AAED1",0.379332739670714
"AAGAB",-1.00847225233325
"AAK1",0.541328996655275
"AAMDC",0.177690604705538
"AAMP",-0.303650958206463
"AANAT",-0.483847429407829
"AAR2",-0.384675602739254
"AARS",-0.169137409174153
"AARS2",-0.80415885317762
"AASDH",-0.0878097448800777
"AASDHPPT",0.158796492989218
"AASS",1.41206866488668
"AATBC",0.121779612251081
"AATF",0.202456788593771
"AATK",-0.33702395276199
"ABAT",-0.812802669208704
"ABCA1",0.395173408475789
"ABCA11P",-0.199147854606596
"ABCA12",-0.508228406018635
"ABCA13",0.785324926272938
"ABCA17P",-2.1568278981667
"ABCA2",-1.26362021996951
"ABCA3",-1.92320903680023
"ABCA4",0.0901405978284667
"ABCA5",0.410741138763597
"ABCA6",0.641722219014825
"ABCA7",0.121721580849258
"ABCA8",-0.15224439055991
"ABCA9",-0.332652952838834
"ABCB1",0.494084033274754
"ABCB10",0.3639431747707
"ABCB11",-0.23600429283258
"ABCB4",-0.454830309434571
"ABCB4///ABCB1",0.504758930003886
"ABCB5",0.426661489452238
"ABCB6",-0.486621816503433
"ABCB7",0.0516740596080005
"ABCB8",0.0238633968489145
"ABCB8///ASIC3",-0.182081464590243
"ABCB9",-0.208970121419657
"ABCC1",0.171566504169566
"ABCC10",0.483283224764055
"ABCC11",-2.04670259085808
"ABCC12",0.10367435807426
"ABCC13",0.333691809487528
"ABCC2",-0.0862276012706431
"ABCC3",1.49752680403942
"ABCC4",-0.128370856458532
"ABCC5",-0.2944435208554
"ABCC6P1",-0.648290454669469
"ABCC8",-0.17651876098752
"ABCC9",0.410705932481339
"ABCD1",-0.593371160052937
"ABCD2",-1.19325698627995
"ABCD3",-0.00542417587441599
"ABCD4",0.143593227565669
"ABCE1",0.169557662404855
"ABCF1",0.23105926773443
"ABCF2",-0.562222495728051
