"type","Rank_metric","Feature_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"HCC827","Input","KEGG_ABC_TRANSPORTERS",0.54049,1.55,0.0721,1185,0.411,"ABCA12, ABCC3, ABCC2, ABCA3, ABCG2, ABCB7, ABCD3, TAP2",1.14206473528057,0.386158178123931,FALSE
"HCC827","Input","KEGG_ACUTE_MYELOID_LEUKEMIA",-0.39562,-1.17,0.299,5858,0.601,"RELA, BRAF, STAT5A, BAD, SOS1, CCND1, IKBKG, RPS6KB2, MAP2K1, MTOR, AKT1, CHUK, MAPK3, RAF1, MAP2K2, AKT3, IKBKB, RPS6KB1, TCF7L1, AKT2, MAPK1, PIK3CB",0.52432881167557,0.22112552799726,FALSE
"HCC827","Input","KEGG_ADHERENS_JUNCTION",0.43356,1.24,0.202,1419,0.599,"EGFR, CDH1, CTNNB1, CTNND1, RAC2, TGFBR2, CTNNA1, CTNNA2, MET, LMO7, TJP1, PTPRF, PTPRJ, AFDN, RAC3, PARD3, SRC, NECTIN4",0.694648630553376,0.222573177610689,FALSE
"HCC827","Input","KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",-0.38221,-1.13,0.251,5467,0.614,"STAT3, PTPN11, PRKAA1, PRKAG1, RELA, RXRG, ACACB, ADIPOR2, PRKCQ, IKBKG, ACSL1, MTOR, STK11, MAPK8, AKT1, NFKBIB, CHUK, AKT3, IKBKB, MAPK9, IRS2, AKT2, CPT1A",0.600326278518962,0.211831628858832,FALSE
"HCC827","Input","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",-0.30791,-0.904,0.51,6277,0.766,"ASS1, ADSL, ASL, CAD, PPAT, CPS1, NIT2, GLUD2",0.292429823902064,0.115771230367396,FALSE
"HCC827","Input","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",-0.26484,-0.797,0.686,7350,0.815,"MAPK3, IRS2, MAPK1, PIK3CB, ATP1B3",0.163675884293248,0.0888423912600234,FALSE
"HCC827","Input","KEGG_ALZHEIMERS_DISEASE",-0.24201,-0.743,0.786,6859,0.865,"NDUFS5, NDUFB3, NAE1, NDUFA6, ITPR2, NDUFA9, CASP3, NDUFB4, CAPN1, NDUFV3, MAPK3, NDUFS7, NDUFA2, IDE, GSK3B, NDUFB7, CASP9, MAPK1, ITPR1, ATP2A1, PSEN2, ATP2A3, MAPT, SNCA, MME, BID",0.104577453960592,0.0629838925351858,FALSE
"HCC827","Input","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",0.3628,1.01,0.397,1945,0.728,"PARS2, MARS2, TARS2, AARS2, YARS2, WARS2, FARS2",0.401209493236885,0.137868620686963,FALSE
"HCC827","Input","KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",-0.39724,-1.2,0.22,7420,0.612,"UAP1, GALK1, NPL, GNPDA2, HK3, PGM3, GCK, GNE",0.657577319177794,0.213248577854439,FALSE
"HCC827","Input","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",-0.59984,-1.74,0.0367,7111,0.312,"CASP3, ALS2, MAPK14, BCL2L1, BAX, SOD1, CASP9, NEFL, NEFM, PRPH, PRPH2, NEFH, BID",1.43533393574791,0.505845405981557,FALSE
