"Drug_set","mean_NES","sd_NES","Fisher_p","types","N_types","N_sig","sig_types","adj_Fisher_p"
"MDM inhibitor",0.61505,1.2322415379684,0.000145116304689573,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,4,"HCC95, H1648, HCC827, H2009",0.000708509017013798
"retinoid receptor agonist",0.5428,1.3641660880514,1.54628289517376e-05,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,3,"H1648, H2126, HCC44",9.87242156149402e-05
"bacterial DNA gyrase inhibitor",0.53395,1.11615238890716,0.0138837300852224,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"HCC4006",0.0371725676475311
"adrenergic receptor antagonist",0.4275,0.704636487096268,0.999709613483481,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999997150505055
"benzodiazepine receptor agonist",0.3917,0.791587352628947,0.995411169605698,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999997150505055
"BCL inhibitor",0.37655,1.16843775480002,0.0451365090014476,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"HCC44",0.0985876380821093
"sterol demethylase inhibitor",0.3461,1.19563305847836,0.032389666410513,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"H2009",0.0746761753353493
"acetylcholine receptor antagonist",0.29795,1.35306044813814,0.00304025399837317,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,3,"HCC4006, H460, H1299",0.0097054262255759
"DNA inhibitor",0.267,0.8149782044228,0.998636801435584,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999997150505055
"bromodomain inhibitor",0.266,2.01562423398598,5.13300386315732e-11,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,14,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2009, HCC2279, H520, HCC15, H460, HCC44, H1299",4.26039320642058e-09
"TGF beta receptor inhibitor",0.22885,1.10245201709644,0.214936822386624,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.356795125161795
"PPAR receptor agonist",0.21995,1.02146708090296,0.531887171536959,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.723715331763403
