"type","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"H358","Pearson.est","EGFR inhibitor",-0.6517,-1.55,0.031,1083,0.321,"BIBX.1382, poziotinib, tyrphostin.AG.1478, AEE788, BMS.690514, WZ8040, WZ.4002, lapatinib, erlotinib, CP.724714, canertinib, pelitinib, rociletinib, BMS.599626, TAK.285, PD.153035, gefitinib, dacomitinib, XL.647, GW.583340, AZD8931, tucatinib, BIBU.1361, osimertinib, afatinib, CUDC.101, neratinib, ARRY.334543, AST.1306",1.50863830616573,0.493494967595128,FALSE
"H358","Pearson.est","Abl kinase inhibitor",-0.38684,-0.915,0.6,1017,0.807,"ZM.306416, imatinib, tozasertib, bafetinib, bosutinib, KW.2449",0.221848749616356,0.0931264652779296,FALSE
"H358","Pearson.est","acetylcholine receptor agonist",-0.58163,-1.4,0.102,1016,0.47,"xanomeline, nefiracetam, pilocarpine",0.991399828238082,0.327902142064283,FALSE
"H358","Pearson.est","acetylcholine receptor antagonist",0.47989,1.44,0.117,756,0.299,"darifenacin, iododexetimide, hyoscyamine, methscopolamine, diphemanil, dicycloverine",0.931814138253838,0.52432881167557,FALSE
"H358","Pearson.est","adenosine receptor antagonist",-0.44247,-1.06,0.397,729,0.742,"istradefylline, SCH.58261, PSB.1115, MRS.1220, CGS.15943",0.401209493236885,0.129596094720973,FALSE
"H358","Pearson.est","adrenergic receptor agonist",0.24075,0.726,0.765,1103,0.903,"lidamidine, xylazine, epinephrine, terbutaline, methyldopa, oxymetazoline, ritodrine, A61603, norepinephrine, buphenine, isoetharine, midodrine, clenbuterol, metaraminol, isoxsuprine",0.116338564846382,0.0443122496864942,FALSE
"H358","Pearson.est","adrenergic receptor antagonist",-0.27247,-0.65,0.91,691,0.974,"carvedilol, propranolol, oxprenolol, dihydroergocristine, prazosin, levobunolol, vincamine, dronedarone, atenolol......, naftidrofuryl, atipamezole",0.0409586076789064,0.0114410431213845,FALSE
"H358","Pearson.est","AKT inhibitor",-0.61414,-1.47,0.0535,1030,0.374,"palomid.529, AZD5363, CCT128930, GSK2110183, GDC.0068, A.674563, triciribine, uprosertib",1.27164621797877,0.42712839779952,FALSE
"H358","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.30241,-0.719,0.846,822,0.974,"AP26113, NVP.TAE684, alectinib, CEP.37440, DMH1, AZD3463",0.0726296369609765,0.0114410431213845,FALSE
"H358","Pearson.est","androgen receptor antagonist",0.42025,1.29,0.165,842,0.401,"bicalutamide, RU.58841, flutamide, cyproterone.acetate, nilutamide, enzalutamide",0.782516055786094,0.396855627379818,FALSE
