"type","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"HCC827","Pearson.est","EGFR inhibitor",-0.35603,-0.909,0.584,1008,0.942,"vandetanib, canertinib, OSI.420, BMS.599626, BIBX.1382, AEE788, afatinib, tyrphostin.AG.1478, lapatinib, osimertinib, pelitinib, PD.168393, WZ8040, PD.153035, TAK.285, erlotinib, icotinib, BIBU.1361",0.233587152887601,0.0259490972071227,FALSE
"HCC827","Pearson.est","Abl kinase inhibitor",-0.26555,-0.659,0.873,991,0.92,"imatinib, KW.2449, bosutinib, tozasertib, bafetinib, metatinib",0.0589857562944303,0.0362121726544447,FALSE
"HCC827","Pearson.est","acetylcholine receptor agonist",-0.29525,-0.742,0.766,1266,0.894,"tremorine",0.115771230367396,0.0486624812040823,FALSE
"HCC827","Pearson.est","acetylcholine receptor antagonist",0.40178,1.05,0.386,200,1,"methscopolamine, hyoscyamine",0.413412695328245,0,FALSE
"HCC827","Pearson.est","adenosine receptor antagonist",-0.38674,-0.949,0.523,860,0.916,"MRS.1220, sulmazole, CGS.15943",0.281498311132726,0.0381045263321496,FALSE
"HCC827","Pearson.est","adrenergic receptor agonist",-0.34545,-0.86,0.602,1077,0.812,"oxymetazoline, metaraminol, buphenine, terbutaline, epinephrine, isoxsuprine",0.220403508742175,0.0904439707588247,FALSE
"HCC827","Pearson.est","adrenergic receptor antagonist",0.32003,0.876,0.563,123,1,"atipamezole, dihydroergocristine, atenolol......, metoprolol",0.249491605148654,0,FALSE
"HCC827","Pearson.est","AKT inhibitor",-0.47425,-1.17,0.277,1041,0.697,"GDC.0068, AZD5363, CCT128930, uprosertib, palomid.529, triciribine",0.557520230935551,0.156767221901991,FALSE
"HCC827","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.49651,-1.23,0.244,980,0.631,"alectinib, NVP.TAE684, AZD3463, lorlatinib, CEP.37440, GW.788388",0.612610173661271,0.199970640755866,FALSE
"HCC827","Pearson.est","androgen receptor antagonist",0.25589,0.684,0.856,1079,1,"RU.58841, enzalutamide, nilutamide, flutamide, bicalutamide, cyproterone.acetate",0.0675262353228468,0,FALSE
"HCC827","Pearson.est","antioxidant",0.42014,1.16,0.286,22,1,"trolox",0.543633966870957,0,FALSE
"HCC827","Pearson.est","AP inhibitor",-0.48231,-1.24,0.212,1326,0.681,"LCL.161, embelin",0.673664139071249,0.166852888087215,FALSE
"HCC827","Pearson.est","ATPase inhibitor",0.67635,1.87,0.0199,283,0.534,"k.strophanthidin, oligomycin.a, evodiamine, digoxin, blebbistatin...., NMS.873, digitoxin",1.70114692359029,0.272458742971444,FALSE
