"type","Rank_metric","Feature_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"HCC827","Input","KEGG_ABC_TRANSPORTERS",0.54049,1.52,0.0709,1185,0.401,"ABCA12, ABCC3, ABCC2, ABCA3, ABCG2, ABCB7, ABCD3, TAP2",1.14935376481693,0.396855627379818,FALSE
"HCC827","Input","KEGG_ACUTE_MYELOID_LEUKEMIA",-0.39562,-1.23,0.188,5858,0.594,"RELA, BRAF, STAT5A, BAD, SOS1, CCND1, IKBKG, RPS6KB2, MAP2K1, MTOR, AKT1, CHUK, MAPK3, RAF1, MAP2K2, AKT3, IKBKB, RPS6KB1, TCF7L1, AKT2, MAPK1, PIK3CB",0.72584215073632,0.226213555018806,FALSE
"HCC827","Input","KEGG_ADHERENS_JUNCTION",0.43356,1.23,0.187,1419,0.615,"EGFR, CDH1, CTNNB1, CTNND1, RAC2, TGFBR2, CTNNA1, CTNNA2, MET, LMO7, TJP1, PTPRF, PTPRJ, AFDN, RAC3, PARD3, SRC, NECTIN4",0.728158393463501,0.211124884224583,FALSE
"HCC827","Input","KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",-0.38221,-1.13,0.294,5467,0.63,"STAT3, PTPN11, PRKAA1, PRKAG1, RELA, RXRG, ACACB, ADIPOR2, PRKCQ, IKBKG, ACSL1, MTOR, STK11, MAPK8, AKT1, NFKBIB, CHUK, AKT3, IKBKB, MAPK9, IRS2, AKT2, CPT1A",0.531652669587843,0.200659450546418,FALSE
"HCC827","Input","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",-0.30791,-0.902,0.524,6277,0.771,"ASS1, ADSL, ASL, CAD, PPAT, CPS1, NIT2, GLUD2",0.280668713016273,0.112945621949043,FALSE
"HCC827","Input","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",-0.26484,-0.779,0.693,7350,0.829,"MAPK3, IRS2, MAPK1, PIK3CB, ATP1B3",0.159266765388193,0.0814454694497265,FALSE
"HCC827","Input","KEGG_ALZHEIMERS_DISEASE",-0.24201,-0.73,0.779,6859,0.856,"NDUFS5, NDUFB3, NAE1, NDUFA6, ITPR2, NDUFA9, CASP3, NDUFB4, CAPN1, NDUFV3, MAPK3, NDUFS7, NDUFA2, IDE, GSK3B, NDUFB7, CASP9, MAPK1, ITPR1, ATP2A1, PSEN2, ATP2A3, MAPT, SNCA, MME, BID",0.108462542327436,0.0675262353228468,FALSE
"HCC827","Input","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",0.3628,1.03,0.386,1945,0.687,"PARS2, MARS2, TARS2, AARS2, YARS2, WARS2, FARS2",0.413412695328245,0.16304326294045,FALSE
"HCC827","Input","KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",-0.39724,-1.2,0.254,7420,0.615,"UAP1, GALK1, NPL, GNPDA2, HK3, PGM3, GCK, GNE",0.595166283380062,0.211124884224583,FALSE
"HCC827","Input","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",-0.59984,-1.84,0.0285,7111,0.433,"CASP3, ALS2, MAPK14, BCL2L1, BAX, SOD1, CASP9, NEFL, NEFM, PRPH, PRPH2, NEFH, BID",1.54515513999149,0.363512103646635,FALSE
"HCC827","Input","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.48545,1.37,0.126,1185,0.493,"CTSS, B2M, IFI30, LGMN, TAPBP, CREB1, PSME2, TAP2",0.899629454882437,0.30715308072277,FALSE
"HCC827","Input","KEGG_APOPTOSIS",-0.27932,-0.855,0.603,5858,0.765,"RELA, ATM, PRKACB, BIRC2, BAD, RIPK1, APAF1, IKBKG, IRAK4, PRKAR2B, PRKAR1A, DFFB, AKT1, CHUK, CASP3, XIAP, CAPN1, TNFRSF10D, BCL2L1, AKT3, BAX, IKBKB, AKT2, CASP9, PIK3CB, BID",0.219682687859849,0.116338564846382,FALSE
"HCC827","Input","KEGG_ARACHIDONIC_ACID_METABOLISM",0.62342,1.76,0.0292,1027,0.762,"PTGS2, PTGES, GGT7, EPHX2, ALOX5, GGT1, GPX6, GPX7, PLA2G12A",1.53461714855158,0.1180450286604,FALSE
"HCC827","Input","KEGG_ARGININE_AND_PROLINE_METABOLISM",0.34364,0.991,0.426,796,0.753,"PRODH, PRODH2, OAT, GATM, AGMAT, ALDH1B1, LAP3",0.370590400897281,0.123205023799299,FALSE
"HCC827","Input","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.60072,1.71,0.0381,545,0.472,"ITGB6, ITGA1, DSC2, ITGA3, ITGA2, ITGA5, DSG2, CTNNB1, ITGB1, CTNNA1, GJA1, CTNNA2, ITGAV",1.41907502432438,0.326058001365912,FALSE
"HCC827","Input","KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0.52864,1.47,0.0989,786,0.429,"UGDH, ALDH1B1",1.00480370840282,0.367542707815276,FALSE
"HCC827","Input","KEGG_AXON_GUIDANCE",0.4022,1.13,0.288,1664,0.658,"EPHB2, SEMA4B, ITGB1, RAC2, NRP1, EPHA1, EFNA5, EFNB2, MET, CFL2, SEMA3A, CXCR4, EFNA1, PLXNB3, PLXNB2, RAC3, PLXNB1, GNAI1, GNAI3, ROBO1, SLIT1, SLIT3, GNAI2, KRAS, NRAS, NTN4",0.540607512240769,0.181774106386044,FALSE
