"type","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"H358","Pearson.est","EGFR inhibitor",-0.42175,-1,0.458,853,0.836,"canertinib, dovitinib, BMS.690514, XL.647, erlotinib, pelitinib, FERb.033, dacomitinib, CP.724714, icotinib, gefitinib, OSI.420, AEE788, lapatinib, ARRY.334543, AST.1306, afatinib, PD.153035, WZ8040, salvianolic.acid.B, BMS.599626, rociletinib, tucatinib, CUDC.101, osimertinib, neratinib",0.339134521996131,0.0777937225609836,FALSE
"H358","Pearson.est","Abl kinase inhibitor",-0.44458,-1.07,0.385,996,0.78,"nilotinib, tozasertib, flumatinib, KW.2449, imatinib, bosutinib",0.414539270491499,0.10790539730952,FALSE
"H358","Pearson.est","acetylcholine receptor agonist",-0.62096,-1.47,0.058,941,0.3,"nefiracetam, xanomeline, oxiracetam, pilocarpine",1.23657200643706,0.522878745280338,FALSE
"H358","Pearson.est","acetylcholine receptor antagonist",-0.72832,-1.74,0.00879,1341,0.133,"methscopolamine, dicycloverine",2.05601112492623,0.876148359032914,TRUE
"H358","Pearson.est","adenosine receptor antagonist",-0.58015,-1.37,0.119,836,0.371,"MRS.1220, SCH.58261, CGS.15943, sulmazole, theophylline, istradefylline, PSB.1115",0.924453038607469,0.430626090384954,FALSE
"H358","Pearson.est","adrenergic receptor agonist",-0.54518,-1.31,0.153,1267,0.416,"oxymetazoline, isoetharine, midodrine, isoxsuprine, clenbuterol",0.815308569182401,0.380906669373257,FALSE
"H358","Pearson.est","adrenergic receptor antagonist",-0.31353,-0.733,0.82,1063,0.96,"imiloxan, atenolol......, idazoxan, dronedarone, atenolol...., levobunolol",0.0861861476162833,0.0177287669604316,FALSE
"H358","Pearson.est","AKT inhibitor",-0.53644,-1.28,0.166,1182,0.442,"palomid.529, uprosertib, AT7867, CCT128930",0.779891911959945,0.354577730650908,FALSE
"H358","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.34633,-0.811,0.702,833,0.932,"NVP.TAE684, SB.505124, CEP.37440, alectinib, GW.788388, AZD3463, DMH1",0.153662887870195,0.0305840876460186,FALSE
"H358","Pearson.est","androgen receptor antagonist",-0.68979,-1.64,0.0222,1258,0.161,"bicalutamide, flutamide",1.65364702554936,0.79317412396815,TRUE
"H358","Pearson.est","antioxidant",-0.76543,-1.84,0.00375,1386,0.0842,"benfotiamine, taurine",2.42596873227228,1.07468790850035,TRUE
"H358","Pearson.est","AP inhibitor",0.37134,1.06,0.378,49,0.709,"birinapant",0.422508200162775,0.149353764816933,FALSE
"H358","Pearson.est","ATPase inhibitor",-0.24889,-0.596,0.931,1262,0.974,"ouabain, digoxin",0.0310503190186574,0.0114410431213845,FALSE
"H358","Pearson.est","Aurora kinase inhibitor",-0.41916,-1.01,0.45,900,0.834,"PHA.680632, CCT137690, PF.03814735, SNS.314, ZM.447439, tozasertib, ENMD.2076, MK.8745, danusertib, AT.9283, hesperadin, KW.2449, barasertib, alisertib",0.346787486224656,0.0788339493622613,FALSE
"H358","Pearson.est","bacterial 50S ribosomal subunit inhibitor",-0.57727,-1.37,0.109,1036,0.371,"tilmicosin, tedizolid, josamycin, dirithromycin, azalomycin.b",0.962573502059376,0.430626090384954,FALSE
"H358","Pearson.est","bacterial DNA gyrase inhibitor",0.53988,1.57,0.0765,278,0.296,"lomefloxacin, novobiocin, sparfloxacin, norfloxacin, finafloxacin, nadifloxacin",1.11633856484638,0.528708288941061,FALSE
"H358","Pearson.est","BCL inhibitor",-0.37531,-0.9,0.599,864,0.886,"navitoclax, TW.37, venetoclax",0.222573177610689,0.0525662781129492,FALSE
"H358","Pearson.est","Bcr.Abl kinase inhibitor",-0.4618,-1.09,0.361,687,0.753,"bafetinib, metatinib, GZD824, ponatinib, nilotinib, tozasertib, flumatinib, imatinib, bosutinib",0.442492798094342,0.123205023799299,FALSE
"H358","Pearson.est","benzodiazepine receptor agonist",-0.29994,-0.715,0.819,777,0.966,"eprinomectin, CGS.20625, ZK.93423, temazepam, nefiracetam, lorazepam, piperazine",0.0867160982395816,0.0150228735845067,FALSE
"H358","Pearson.est","bromodomain inhibitor",-0.80459,-1.91,0,1283,0.115,"bromosporine, OTX015, I.BET.762, I.BET151, JQ1....",Inf,0.939302159646388,TRUE
"H358","Pearson.est","calcium channel blocker",-0.3515,-0.848,0.672,1103,0.889,"mibefradil, tetrandrine, SKF.96365",0.172630726946175,0.0510982390297863,FALSE
"H358","Pearson.est","CC chemokine receptor antagonist",0.2949,0.865,0.668,19,1,"ZK811752",0.175223537524454,0,FALSE
"H358","Pearson.est","CDK inhibitor",-0.70134,-1.68,0.0164,1213,0.153,"aminopurvalanol.a, arcyriaflavin.a, JNJ.7706621, dinaciclib, abemaciclib, P276.00, R547, PHA.848125, kenpaullone, palbociclib, PHA.793887, TG.02, indisulam, AZD5438, ribociclib, AT.7519, BMS.387032",1.7851561519523,0.815308569182401,TRUE
"H358","Pearson.est","CHK inhibitor",0.22276,0.665,0.883,1127,1,"SCH.900776, CHIR.124, AZD7762, LY2603618, LY2606368, PF.477736, SB.218078",0.0540392964224314,0,FALSE
"H358","Pearson.est","cyclooxygenase inhibitor",-0.25853,-0.621,0.905,992,0.969,"FR.122047, suxibuzone, meloxicam, piroxicam, aspirin, tryptanthrin, ketoprofen, phenazone",0.0433514207947967,0.0136762229492347,FALSE
"H358","Pearson.est","cytochrome P450 inhibitor",-0.37365,-0.882,0.623,1191,0.848,"PF.4981517, morin",0.20551195334083,0.0716041477432862,FALSE
"H358","Pearson.est","DNA alkylating agent",-0.36552,-0.891,0.599,1085,0.884,"cisplatin, streptozotocin, temozolomide, TH.302, estramustine",0.222573177610689,0.0535477349869269,FALSE
"H358","Pearson.est","DNA inhibitor",-0.26063,-0.626,0.907,1286,0.98,"pibenzimol, primaquine",0.0423927129399047,0.00877392430750515,FALSE
"H358","Pearson.est","DNA methyltransferase inhibitor",-0.40659,-0.987,0.503,774,0.803,"decitabine, fdcyd, RG108, SGI.1027, azacitidine",0.298432014944073,0.095284454721319,FALSE
"H358","Pearson.est","DNA polymerase inhibitor",-0.58302,-1.41,0.0861,1199,0.332,"trifluridine, menadione, idoxuridine",1.06499684854635,0.478861916295964,FALSE
"H358","Pearson.est","DNA synthesis inhibitor",0.25244,0.738,0.776,1086,1,"altretamine, artesunate, CB.10.277, nelarabine, cyclocytidine, floxuridine, mitomycin.c, anisomycin, azodicarbonamide, estramustine.phosphate, enocitabine, capecitabine, artemisinin, cisplatin",0.110138278741812,0,FALSE
"H358","Pearson.est","dopamine receptor antagonist",-0.26209,-0.627,0.904,869,0.994,"amisulpride, isofloxythepin, nemonapride, acetophenazine, mesoridazine, piperacetazine, lurasidone, UH.232...., sertindole, paliperidone, ziprasidone",0.0438315695246367,0.00261361560268669,FALSE
"H358","Pearson.est","estrogen receptor agonist",-0.64711,-1.56,0.0369,1327,0.182,"estradiol, PPT",1.43297363384094,0.739928612014925,TRUE
"H358","Pearson.est","estrogen receptor antagonist",-0.78659,-1.9,0,1395,0.0642,"tamoxifen, clomifene",Inf,1.19246497193115,TRUE
"H358","Pearson.est","FGFR inhibitor",-0.49966,-1.19,0.249,867,0.619,"dovitinib, regorafenib, MK.2461, orantinib, lucitanib, nintedanib, PD.173074",0.603800652904264,0.208309350979882,FALSE
"H358","Pearson.est","FLT3 inhibitor",-0.46608,-1.12,0.313,844,0.747,"ponatinib, lestaurtinib, dovitinib, sunitinib, tozasertib, ENMD.2076, sorafenib, gilteritinib, KW.2449, tandutinib, TG.02, pacritinib",0.504455662453552,0.126679398184601,FALSE
"H358","Pearson.est","glucocorticoid receptor agonist",-0.22492,-0.533,0.959,913,0.996,"fluocinolone.acetonide, halcinonide, prednisolone, prednisolone.hemisuccinate, methylprednisolone, difluprednate, halobetasol.propionate, betamethasone, flumethasone",0.0181813928293364,0.00174066157630127,FALSE
"H358","Pearson.est","glutamate receptor antagonist",0.23572,0.662,0.877,56,1,"SIB.1757, MTPG",0.0570004066339595,0,FALSE
"H358","Pearson.est","glycogen synthase kinase inhibitor",-0.28496,-0.67,0.88,998,1,"indirubin, CHIR.99021, kenpaullone",0.0555173278498314,0,FALSE
"H358","Pearson.est","growth factor receptor inhibitor",-0.58987,-1.42,0.101,850,0.351,"lestaurtinib, GSK1904529A, GW.441756, AZD3463, GSK1838705A, danusertib, PHA.848125",0.995678626217357,0.454692883534176,FALSE
"H358","Pearson.est","HCV inhibitor",-0.67676,-1.62,0.0174,1169,0.138,"narlaprevir, daclatasvir, mericitabine",1.7594507517174,0.860120913598763,TRUE
