"type","Rank_metric","Feature_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"H358","Input","alpha amino acids",-0.28972,-1.01,0.427,62,0.435,"sarcosine, homocysteine, glycine, citrulline, dimethylglycine, creatinine, betaine, acetylglycine, ornithine, phosphocreatine, creatine",0.369572124974976,0.361510743045363,FALSE
"H358","Input","acyl carnitines",-0.38991,-1.41,0.119,85,0.227,"propionylcarnitine, heptanoylcarnitine, stearoylcarnitine, malonylcarnitine, hexanoylcarnitine, palmitoylcarnitine, myristoylcarnitine",0.924453038607469,0.643974142806877,FALSE
"H1650","Input","alpha amino acids",-0.41638,-1.49,0.0853,173,0.1,"glycine, creatinine, betaine, ornithine, dimethylglycine, creatine, citrulline",1.06905096883248,1,FALSE
"H1650","Input","acyl carnitines",0.36239,1.24,0.191,146,0.195,"hexanoylcarnitine, myristoylcarnitine, heptanoylcarnitine, malonylcarnitine, palmitoylcarnitine, stearoylcarnitine, propionylcarnitine",0.718966632752272,0.709965388637482,FALSE
"HCC95","Input","alpha amino acids",-0.26711,-0.967,0.478,79,0.485,"homocysteine, creatine, glycine, citrulline, creatinine, dimethylglycine, betaine, sarcosine, acetylglycine, ornithine",0.320572103387881,0.314258261397736,FALSE
"HCC95","Input","acyl carnitines",-0.38991,-1.37,0.123,85,0.293,"stearoylcarnitine, propionylcarnitine, palmitoylcarnitine, myristoylcarnitine, malonylcarnitine, heptanoylcarnitine, hexanoylcarnitine",0.910094888560602,0.533132379645891,FALSE
"H3255","Input","alpha amino acids",0.33475,1.2,0.229,115,0.236,"homocysteine, creatine, acetylglycine, sarcosine, glycine, citrulline, dimethylglycine, creatinine, betaine",0.640164517660112,0.627087997029893,FALSE
"H3255","Input","acyl carnitines",-0.35088,-1.24,0.21,179,0.216,"propionylcarnitine, myristoylcarnitine, stearoylcarnitine, palmitoylcarnitine",0.677780705266081,0.665546248849069,FALSE
"H1648","Input","alpha amino acids",0.21893,0.775,0.727,40,0.736,"phosphocreatine, creatine, creatinine, glycine",0.138465589140962,0.133122185662501,FALSE
"H1648","Input","acyl carnitines",0.25529,0.888,0.589,13,1,"palmitoylcarnitine, myristoylcarnitine",0.229884705212898,0,FALSE
"H1975","Input","alpha amino acids",0.30803,1.07,0.36,39,0.361,"homocysteine, creatinine, dimethylglycine, phosphocreatine, ornithine",0.443697499232713,0.442492798094342,FALSE
"H1975","Input","acyl carnitines",-0.41428,-1.45,0.104,125,0.1,"heptanoylcarnitine, hexanoylcarnitine, malonylcarnitine, stearoylcarnitine, myristoylcarnitine, palmitoylcarnitine",0.98296666070122,1,FALSE
"HCC78","Input","alpha amino acids",-0.28078,-1,0.446,103,0.904,"phosphocreatine, citrulline, dimethylglycine, creatinine, homocysteine, betaine, creatine, ornithine, acetylglycine",0.350665141287858,0.0438315695246367,FALSE
"HCC78","Input","acyl carnitines",-0.27409,-0.982,0.474,126,0.469,"hexanoylcarnitine, myristoylcarnitine, palmitoylcarnitine, stearoylcarnitine, heptanoylcarnitine",0.324221658325915,0.328827157284917,FALSE
