"Drug_set","mean_NES","sd_NES","Fisher_p","types","N_types","N_sig","sig_types","adj_Fisher_p"
"MEK inhibitor",1.837,0.0718258126889007,1.04805803593986e-14,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"A549",4.34944084915044e-13
"AP inhibitor",1.658,0.161264738208555,3.3671360440357e-10,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,1,"CALU3",6.98680729137407e-09
"HSP inhibitor",1.4845,0.162204386987204,7.84433373523757e-07,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",5.91890636386107e-06
"CHK inhibitor",1.459,0.124515904712273,2.49244058868342e-06,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",1.47766120614803e-05
"bacterial DNA gyrase inhibitor",1.398,0.113721728701895,5.93068477388403e-05,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.000307654272645234
"estrogen receptor agonist",1.2995,0.0888212279036706,0.00199808555192968,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.00753823185500743
"thymidylate synthase inhibitor",1.2256,0.188098070725157,0.0130029033245659,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.0415092683053451
"glucocorticoid receptor agonist",1.2007,0.187024653595807,0.0260713767854997,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.0769886029780495
"adrenergic receptor antagonist",1.1705,0.0814652008367279,0.0570644407717307,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.143525714668292
"proteasome inhibitor",1.1327,0.157606471948331,0.10491171311871,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.248790633967226
"EGFR inhibitor",1.1262,0.148325602006283,0.127977156233972,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.295058443539436
"ATPase inhibitor",0.83905,0.115644862447609,0.998061654194559,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999999999999991
"phosphodiesterase inhibitor",0.76505,0.17273846217849,0.999923243164951,"H358, H1650, HCC95, H3255, H1648, H1975, HCC78, H2126, HCC827, CALU3, H2009, HCC4006, HCC2279, H520, HCC15, H460, A549, HCC44, H1703, H1299",20,0,"",0.999999999999991
