"Drug_set","mean_NES","sd_NES","Fisher_p","types","N_types","N_sig","sig_types","adj_Fisher_p"
"estrogen receptor antagonist",0.8851,1.14384832424972,0.00170439338368609,"HCC827, HCC95, H1650, H2009, H2126, H3255, H1299, H1703, H460, H520",10,3,"HCC827, HCC95, H1299",0.0113464066409016
"KIT inhibitor",0.839466666666667,0.803198326928631,0.19121708254354,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"H2009",0.307447073893535
"PDGFR tyrosine kinase receptor inhibitor",0.8026,0.784486711168519,0.357883032418245,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"H2009",0.481088666529444
"microtubule inhibitor",0.770533333333333,0.903426008249127,0.114816218863349,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.208310356372865
"FLT3 inhibitor",0.677733333333333,0.959667983260481,0.137914163518786,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.23079513078654
"VEGFR inhibitor",0.595733333333333,0.863282809700164,0.607982672900286,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.744098196683932
"RET tyrosine kinase inhibitor",0.573428571428571,1.32970243717479,0.0239655681574714,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, H1299, H1703, H460, H520",14,2,"H2009, H3255",0.0701848781754521
"tyrosine kinase inhibitor",0.556133333333333,0.869785841183799,0.690775001579834,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.820596210897299
"vitamin D receptor agonist",0.549642857142857,1.36886952837525,0.0475892932624293,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, A549, HCC15, HCC44, H1299, H1703, H460, H520",14,2,"H2126, H1299",0.118252183258158
"phosphatase inhibitor",0.4786,1.01344094196808,0.325808489249211,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.446884199423928
"FGFR inhibitor",0.4696,1.13571467744827,0.120120437869359,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"H2009",0.209571827772073
"histamine receptor antagonist",0.416133333333333,0.951023198355079,0.67544344869976,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.81450533519677
"ATPase inhibitor",0.411533333333333,1.17289342267419,0.0385494299994575,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"H1299",0.105368441998517
"tubulin polymerization inhibitor",0.402333333333333,1.32053661531248,0.00227791502989198,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,2,"HCC95, H2009",0.0133420737465102
"cytochrome P450 inhibitor",0.393076923076923,1.35978763424897,0.00344947591532525,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, H1299, H1703, H520",13,1,"H358",0.018857135003778
"CC chemokine receptor antagonist",0.3636,1.07077720771943,0.326988438602874,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.446884199423928
"androgen receptor antagonist",0.329,1.55017123478113,0.000888251145708769,"HCC827, HCC95, H1650, H2126, A549, HCC15, H460, H520",8,1,"H520",0.00809295488312434
"acetylcholine receptor agonist",0.317272727272727,1.21997853185284,0.0830351587096072,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, A549, H1703, H460, H520",11,0,"",0.174586743953533
"MET inhibitor",0.299642857142857,1.35854920395267,0.00456728950628658,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, H1299, H1703, H460, H520",14,2,"H3255, H520",0.0234073587197187
"RAF inhibitor",0.279333333333333,1.18965196991549,0.0897258113656997,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"HCC95",0.179451622731399
"PI3K inhibitor",0.269933333333333,0.873835753336703,0.970160276568316,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.994414283482524
"acetylcholine receptor antagonist",0.255583333333333,1.46268218497472,0.000574967513496775,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, A549, HCC15, H1703, H460, H520",12,2,"HCC827, H520",0.00667744342406333
"HCV inhibitor",0.252333333333333,1.66280977063924,0.0404494935445278,"HCC95, H1650, H2126",3,1,"H2126",0.106995434537138
"Bcr.Abl kinase inhibitor",0.242866666666667,1.31318608553323,0.00946312735091422,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"H2009",0.0369512591797603
"CDK inhibitor",0.2346,1.05436018513599,0.515173034480734,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,0,"",0.643245580591472
"protein tyrosine kinase inhibitor",0.2198,1.28920120340354,0.0150872673834341,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"H1975",0.0526342477945311
"phosphodiesterase inhibitor",0.215866666666667,1.18091767383715,0.103406399754913,"HCC827, HCC95, H1650, H1975, H2009, H2126, H3255, H358, A549, HCC15, HCC44, H1299, H1703, H460, H520",15,1,"HCC827",0.192711926815974
