"type","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"HCC827","Pearson.est","EGFR inhibitor",-0.58091,-1.56,0.0895,1183,0.46,"neratinib, CGP.52411, BMS.599626, GW.583340, OSI.420, PD.153035, PD.168393, CNX.2006, tucatinib, afatinib, poziotinib, BMS.690514, CP.724714, erlotinib, gefitinib, XL.647, lapatinib, canertinib, AZD8931, pelitinib, dacomitinib, rociletinib",1.04817696468409,0.337242168318426,FALSE
"HCC827","Pearson.est","Abl kinase inhibitor",-0.19255,-0.518,0.959,274,0.971,"imatinib, GZD824, tozasertib, bafetinib, ponatinib, flumatinib, nilotinib, dasatinib, KW.2449, bosutinib, metatinib, ZM.306416",0.0181813928293364,0.0127807700919951,FALSE
"HCC827","Pearson.est","acetylcholine receptor agonist",0.44648,1.18,0.254,33,0.853,"tremorine",0.595166283380062,0.069050968832477,FALSE
"HCC827","Pearson.est","acetylcholine receptor antagonist",0.67072,1.8,0.0166,156,0.2,"darifenacin, dicycloverine",1.77989191195995,0.698970004336019,TRUE
"HCC827","Pearson.est","adenosine receptor antagonist",-0.43307,-1.15,0.275,1208,0.771,"sulmazole, CGS.15943",0.560667306169737,0.112945621949043,FALSE
"HCC827","Pearson.est","adrenergic receptor agonist",0.14296,0.38,1,1232,0.999,"xylazine, buphenine, isoetharine, epinephrine, norepinephrine, methyldopa, ritodrine, oxymetazoline, A61603, midodrine, terbutaline, isoxsuprine, clenbuterol, lidamidine, metaraminol",0,0.000434511774017692,FALSE
"HCC827","Pearson.est","adrenergic receptor antagonist",-0.29568,-0.807,0.655,1261,0.884,"pindolol, propranolol, dronedarone, prazosin",0.183758700008217,0.0535477349869269,FALSE
"HCC827","Pearson.est","AKT inhibitor",-0.2281,-0.62,0.91,1133,0.925,"MK.2206, palomid.529, A.674563",0.0409586076789064,0.0338582672609674,FALSE
"HCC827","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.25945,-0.711,0.782,1153,0.981,"crizotinib, AP26113, AZD3463, GW.788388",0.106793246940152,0.0083309926200515,FALSE
"HCC827","Pearson.est","androgen receptor antagonist",0.53691,1.45,0.0898,455,0.74,"flutamide, RU.58841, nilutamide, enzalutamide",1.0467236633327,0.130768280269024,FALSE
"HCC827","Pearson.est","antioxidant",-0.23243,-0.629,0.881,919,0.968,"benfotiamine, chlorogenic.acid, mesna, trolox",0.0550240915879521,0.0141246426916063,FALSE
"HCC827","Pearson.est","AP inhibitor",0.35568,0.945,0.485,15,1,"idronoxil",0.314258261397736,0,FALSE
"HCC827","Pearson.est","ATPase inhibitor",0.40984,1.09,0.354,450,0.962,"blebbistatin...., digitoxigenin, oligomycin.a, evodiamine, rabeprazole",0.450996737974212,0.0168249279621871,FALSE
"HCC827","Pearson.est","Aurora kinase inhibitor",-0.30848,-0.85,0.599,928,0.87,"PHA.680632, danusertib, KW.2449, CYC116, ZM.447439, MLN.8054, GSK1070916, MK.5108, TAK.901, PF.03814735, AT.9283, CCT129202",0.222573177610689,0.0604807473813815,FALSE
"HCC827","Pearson.est","bacterial 50S ribosomal subunit inhibitor",-0.53637,-1.48,0.104,1198,0.539,"radezolid, valnemulin, azalomycin.b, tilmicosin, tedizolid",0.98296666070122,0.268411234813261,FALSE
"HCC827","Pearson.est","bacterial DNA gyrase inhibitor",-0.31663,-0.854,0.587,1221,0.895,"trovafloxacin, nadifloxacin",0.231361898752386,0.048176964684088,FALSE
"HCC827","Pearson.est","BCL inhibitor",-0.41157,-1.13,0.285,1233,0.764,"navitoclax, TW.37, HA14.1",0.54515513999149,0.11690664142431,FALSE
"HCC827","Pearson.est","Bcr.Abl kinase inhibitor",0.33056,0.89,0.561,539,0.958,"imatinib, GZD824, tozasertib, bafetinib, ponatinib, flumatinib",0.251037138743839,0.0186344909214556,FALSE
"HCC827","Pearson.est","benzodiazepine receptor agonist",0.27498,0.709,0.791,338,1,"piperazine, eprinomectin, bentazepam, CL.218872",0.101823516502323,0,FALSE
"HCC827","Pearson.est","bromodomain inhibitor",0.3364,0.906,0.537,550,0.962,"I.BET151, PFI.1, JQ1....",0.270025714300444,0.0168249279621871,FALSE
"HCC827","Pearson.est","calcium channel blocker",-0.23172,-0.624,0.935,1413,0.946,"fendiline",0.0291883891274822,0.0241088635982073,FALSE
"HCC827","Pearson.est","CC chemokine receptor antagonist",0.37793,0.989,0.434,347,1,"SB.225002, UNBS.5162, PF.04136309",0.362510270487489,0,FALSE
"HCC827","Pearson.est","CDK inhibitor",-0.45914,-1.23,0.213,960,0.778,"arcyriaflavin.a, indisulam, BMS.265246, P276.00, PHA.793887, kenpaullone, aminopurvalanol.a, BMS.387032, AT.7519, R547, indirubin, CR8..R.",0.671620396561262,0.109020403010311,FALSE
"HCC827","Pearson.est","CHK inhibitor",-0.50086,-1.36,0.166,1093,0.633,"LY2606368, CHIR.124, AZD7762, LY2603618",0.779891911959945,0.198596289982645,FALSE
"HCC827","Pearson.est","cyclooxygenase inhibitor",0.35539,0.933,0.53,339,0.987,"naproxen, piroxicam, amfenac, tepoxalin, aspirin, AM.404, suxibuzone, metoxibutropate, acetylsalicylsalicylic.acid, curcumin",0.275724130399211,0.00568284733036327,FALSE
"HCC827","Pearson.est","cytochrome P450 inhibitor",0.49714,1.34,0.166,482,0.66,"clotrimazole, cobicistat, metyrapone, eplerenone",0.779891911959945,0.180456064458131,FALSE
"HCC827","Pearson.est","DNA alkylating agent",0.32822,0.852,0.65,313,1,"cisplatin, TH.302, dianhydrogalactitol, carmustine, estramustine, cyclophosphamide, carboplatin",0.187086643357144,0,FALSE
