"Drug_set","mean_NES","sd_NES","Fisher_p","types","N_types","N_sig","sig_types","adj_Fisher_p"
"estrogen receptor antagonist",1.00241666666667,0.696588891192885,0.124327712710528,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"A549",0.265331768848105
"RAF inhibitor",0.698,1.13162080060577,0.0047006947780887,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H1650",0.0278684047558116
"MEK inhibitor",0.667833333333333,1.60164357817685,5.08540197049992e-05,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,5,"H1650, H520, H460, H1299, H1703",0.000844176727102987
"retinoid receptor agonist",0.610333333333333,1.03738520357968,0.171997633009449,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"A549",0.339900084280579
"HMGCR inhibitor",0.5195,1.9209607681385,8.5331314142516e-06,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,7,"HCC95, H1975, H1648, H2126, H1299, HCC44, H1703",0.000395749475218249
"MDM inhibitor",0.45425,1.52040958147946,0.00416580339781743,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,4,"H1650, HCC95, H1648, H460",0.0265970524629882
"glutamate receptor antagonist",0.43275,0.716226237111761,0.987358742586612,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.999999744255948
"BCL inhibitor",0.425416666666667,1.05488159252232,0.304199929869937,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.515277432228669
"dopamine receptor antagonist",0.4205,0.89417046371585,0.875993102824703,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.999999744255948
"RET tyrosine kinase inhibitor",0.406416666666667,1.0790967989551,0.291163973828253,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.50697819475302
"phosphatase inhibitor",0.393166666666667,0.983230744520175,0.513890846378439,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.804772457536046
"thymidylate synthase inhibitor",0.353416666666667,1.40048059662216,4.67424917816275e-05,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,3,"H1650, H2126, HCC44",0.000844176727102987
"FGFR inhibitor",0.32725,1.13192427669956,0.176518018039236,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.340720825517595
"benzodiazepine receptor agonist",0.32275,0.573400562037965,0.999999744255947,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.999999744255948
"Bcr.Abl kinase inhibitor",0.311416666666667,1.25046772764386,0.0259847661335041,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H520",0.0937711125687321
"antioxidant",0.2925,1.39479633573573,0.0129712791125946,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"HCC95",0.0616112951911576
"Abl kinase inhibitor",0.2875,1.24619431579801,0.041043726324705,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H520",0.121665331605376
"acetylcholine receptor agonist",0.236583333333333,0.981314559736844,0.770707396593526,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.999999744255948
"cytochrome P450 inhibitor",0.232083333333333,1.30142770960716,0.0150124187360823,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"HCC95",0.0655805660576229
"proteasome inhibitor",0.221916666666667,1.25182531879966,0.0251527702555807,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.0937711125687321
"CC chemokine receptor antagonist",0.215916666666667,1.30495743283647,0.00678708773166565,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H1650",0.0375552187818833
"p38 MAPK inhibitor",0.213916666666667,1.20391123640886,0.094665808369185,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.218257280406732
"adenosine receptor antagonist",0.185,1.38904735176831,0.00218259813041714,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,3,"H2126, H1299, H1703",0.0164686949840566
"TGF beta receptor inhibitor",0.164,1.2726662063272,0.0381301100288775,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.117214782681364
"adrenergic receptor agonist",0.142583333333333,0.841425031320874,0.992401426537453,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.999999744255948
"FLT3 inhibitor",0.13425,1.09332463157106,0.410067230754878,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.667364316718723
"bacterial DNA gyrase inhibitor",0.13425,1.03675017811341,0.684040247241143,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.946255675350247
"HCV inhibitor",0.126916666666667,1.05333370852506,0.633163264300218,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.890721202320646
"sterol demethylase inhibitor",0.125583333333333,0.99504037911062,0.792730624396318,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.999999744255948
"histamine receptor antagonist",0.113166666666667,0.67722251390022,0.999997961805646,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.999999744255948
"growth factor receptor inhibitor",0.10475,1.26224044136535,0.0379479136146386,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.117214782681364
"ALK tyrosine kinase receptor inhibitor",0.0668333333333333,1.01703542740952,0.741185677459224,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"HCC95",0.999999744255948
"EGFR inhibitor",0.058,1.84339055201895,3.20369112697271e-05,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,7,"HCC95, H1975, H1648, H2126, H520, H1299, H1703",0.000844176727102987
"mTOR inhibitor",0.0465833333333333,1.05096738625406,0.614580823363627,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.890721202320646
"glycogen synthase kinase inhibitor",0.0435,0.980106534098114,0.998823553215968,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"HCC95",0.999999744255948
"bromodomain inhibitor",0.04025,1.53547914493993,0.0340763504946138,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,2,"H2126, A549",0.113133483642118
"glucocorticoid receptor agonist",0.0339166666666667,1.29597309584401,0.0158476448165722,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.0657677259887745
"src inhibitor",0.0273333333333334,1.50636403503954,8.24951913546827e-05,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,5,"HCC95, H520, H1299, HCC44, H1703",0.00114118348040644
"KIT inhibitor",0.0248333333333333,0.94747125965846,0.935832669479616,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.999999744255948
"HDAC inhibitor",0.0211666666666666,1.1537745039914,0.293192209013795,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,2,"H2126, A549",0.50697819475302
"acetylcholine receptor antagonist",-0.00183333333333337,1.23950597441322,0.0779561053013444,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.200456681429326
"estrogen receptor agonist",-0.00725000000000005,0.801671336532735,0.999452080686153,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.999999744255948
"DNA inhibitor",-0.00916666666666668,0.931550694793202,0.966638581217711,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.999999744255948
"progesterone receptor agonist",-0.0171666666666666,1.09721745862666,0.46373187184175,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.740187410824331
"PI3K inhibitor",-0.0253333333333333,1.06693608339985,0.608568603424358,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.890721202320646
"tyrosine kinase inhibitor",-0.02975,1.00830380748156,0.811127303266585,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.999999744255948
"DNA polymerase inhibitor",-0.0300833333333334,1.04827507305472,0.588924130380289,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.890721202320646
"DNA methyltransferase inhibitor",-0.0356666666666666,1.13077329400028,0.283229556884785,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.50697819475302
"ribonucleotide reductase inhibitor",-0.0415000000000001,1.28968385837206,0.0329390189674143,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.113133483642118
"opioid receptor agonist",-0.0475833333333333,1.23267303475255,0.0933508384303763,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.218257280406732
"AP inhibitor",-0.0699166666666666,1.33192556837722,0.101268730435768,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,2,"H1975, A549",0.227170395301859
"PPAR receptor agonist",-0.0780833333333334,1.27135793245814,0.0627046999800293,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"A549",0.167886777365885
"NFkB pathway inhibitor",-0.0893333333333333,0.704062669386925,0.99998542119808,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.999999744255948
"JAK inhibitor",-0.0970833333333334,1.01858515583969,0.812129700429645,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.999999744255948
"AKT inhibitor",-0.119916666666667,1.24744243505978,0.0796996444237081,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H2126",0.200456681429326
"phosphodiesterase inhibitor",-0.125833333333333,0.938912313974704,0.926782184949637,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.999999744255948
"PDGFR tyrosine kinase receptor inhibitor",-0.1285,1.00276857658276,0.762426676890818,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.999999744255948
"protein tyrosine kinase inhibitor",-0.166416666666667,1.3955663860522,0.000996752902459099,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,3,"HCC95, H1648, H2126",0.0103413113630132
"CDK inhibitor",-0.201916666666667,1.16107743523249,0.0941930017532901,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H1650",0.218257280406732
"CHK inhibitor",-0.209583333333333,1.18310919025279,0.204180911811555,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.385159447280888
"protein synthesis inhibitor",-0.248833333333333,1.17580137726909,0.140001294478339,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.290502686042554
"serotonin receptor antagonist",-0.263916666666667,1.03078244405388,0.624882064154891,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.890721202320646
