"type","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"H1650","Pearson.est","EGFR inhibitor",-0.18808,-0.582,0.967,1165,0.95,"AZD8931, TAK.285, FERb.033, WZ8040, icotinib, WZ.3146, BMS.599626, neratinib, rociletinib, ARRY.334543, CP.724714, lapatinib, osimertinib, PD.168393, GW.583340, brigatinib, canertinib, BMS.690514, tucatinib",0.0145735259169983,0.0222763947111523,FALSE
"H1650","Pearson.est","Abl kinase inhibitor",0.54126,1.27,0.168,427,0.685,"KW.2449, GZD824, tozasertib, bafetinib, ponatinib, nilotinib, flumatinib",0.774690718274137,0.164309428507574,FALSE
"H1650","Pearson.est","acetylcholine receptor agonist",0.55053,1.31,0.143,550,0.745,"oxiracetam, tremorine, pilocarpine, xanomeline, nicotine",0.844663962534938,0.127843727251707,FALSE
"H1650","Pearson.est","acetylcholine receptor antagonist",-0.52982,-1.61,0.0464,764,0.393,"hyoscyamine, iododexetimide, dicycloverine, diphemanil, methscopolamine, darifenacin",1.33348201944512,0.405607449624573,FALSE
"H1650","Pearson.est","adenosine receptor antagonist",0.45164,1.08,0.365,328,0.885,"istradefylline, sulmazole, PSB.1115, SCH.58261",0.437707135543525,0.0530567293021746,FALSE
"H1650","Pearson.est","adrenergic receptor agonist",-0.19853,-0.624,0.915,1447,0.978,"xylazine",0.0385789059335517,0.00966114521239857,FALSE
"H1650","Pearson.est","adrenergic receptor antagonist",0.34548,0.829,0.694,317,1,"oxprenolol, carvedilol, atipamezole, atenolol......, idazoxan",0.158640529545145,0,FALSE
"H1650","Pearson.est","AKT inhibitor",-0.31037,-0.9,0.587,446,0.645,"palomid.529, ONC201, uprosertib, AT7867, AZD5363, MK.2206, triciribine, GSK2110183, CCT128930, A.674563, GDC.0068",0.231361898752386,0.190440285364732,FALSE
"H1650","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.39974,0.947,0.545,510,0.988,"AZD3463, alectinib, DMH1, lorlatinib, CEP.37440",0.263603497723358,0.00524305541237188,FALSE
"H1650","Pearson.est","androgen receptor antagonist",-0.35563,-1.06,0.35,1234,0.475,"enzalutamide, flutamide, RU.58841",0.455931955649724,0.323306390375133,FALSE
"H1650","Pearson.est","antioxidant",0.45589,1.07,0.398,231,0.854,"mesna, trolox",0.400116927926312,0.068542129310995,FALSE
"H1650","Pearson.est","AP inhibitor",-0.45002,-1.36,0.109,1216,0.526,"LCL.161, tanshinone.i, birinapant, GDC.0152",0.962573502059376,0.279014255846261,FALSE
"H1650","Pearson.est","ATPase inhibitor",-0.44453,-1.42,0.109,1318,0.559,"rabeprazole, digitoxigenin, oligomycin.a, omeprazole, k.strophanthidin",0.962573502059376,0.252588192113577,FALSE
"H1650","Pearson.est","Aurora kinase inhibitor",0.56442,1.33,0.124,533,0.729,"GSK1070916, SNS.314, KW.2449, tozasertib, AT.9283, danusertib, hesperadin, alisertib, CCT129202, AMG900, barasertib, barasertib.HQPA, ENMD.2076, CCT137690, PHA.680632, PF.03814735, MK.8745, MK.5108",0.906578314837765,0.137272471682025,FALSE
"H1650","Pearson.est","bacterial 50S ribosomal subunit inhibitor",0.30728,0.734,0.824,684,1,"valnemulin, tedizolid, tilmicosin, azalomycin.b, azithromycin",0.0840727883028842,0,FALSE
"H1650","Pearson.est","bacterial DNA gyrase inhibitor",0.53356,1.27,0.178,146,0.685,"finafloxacin, novobiocin",0.749579997691106,0.164309428507574,FALSE
"H1650","Pearson.est","BCL inhibitor",0.51208,1.23,0.202,224,0.693,"gossypol, TW.37, obatoclax",0.694648630553376,0.159266765388193,FALSE
"H1650","Pearson.est","Bcr.Abl kinase inhibitor",0.51671,1.23,0.209,427,0.693,"GZD824, tozasertib, bafetinib, ponatinib, nilotinib, flumatinib",0.679853713888946,0.159266765388193,FALSE
"H1650","Pearson.est","benzodiazepine receptor agonist",0.17413,0.42,0.991,706,0.995,"zaleplon, ZK.93423, lorazepam, ivermectin, eprinomectin, temazepam",0.00392634551472468,0.00217691925427455,FALSE
"H1650","Pearson.est","bromodomain inhibitor",0.49653,1.21,0.228,732,0.686,"bromosporine, I.BET.762, JQ1...., PFI.1, I.BET151, OTX015",0.642065152999546,0.163675884293248,FALSE
"H1650","Pearson.est","calcium channel blocker",0.33933,0.813,0.723,342,1,"tetrandrine, cinnarazine, mibefradil",0.140861702705469,0,FALSE
"H1650","Pearson.est","CC chemokine receptor antagonist",0.70818,1.69,0.0131,233,0.17,"navarixin, ZK811752, PF.04136309, SB.225002",1.88272870434424,0.769551078621726,TRUE
"H1650","Pearson.est","CDK inhibitor",0.69186,1.64,0.0126,248,0.214,"palbociclib, AZD5438, ribociclib, indisulam, abemaciclib, alvocidib, PHA.848125, JNJ.7706621, TG.02, aminopurvalanol.a, dinaciclib, P276.00",1.89962945488244,0.669586226650809,TRUE
"H1650","Pearson.est","CHK inhibitor",-0.43234,-1.3,0.196,623,0.514,"SB.218078, AZD7762, CHIR.124, LY2606368, SCH.900776, LY2603618, PF.477736",0.707743928643524,0.289036881004724,FALSE
"H1650","Pearson.est","cyclooxygenase inhibitor",0.2703,0.644,0.904,453,1,"tepoxalin, meloxicam, FR.122047, ketoprofen, curcumin, aspirin, piroxicam, indoprofen",0.0438315695246367,0,FALSE
"H1650","Pearson.est","cytochrome P450 inhibitor",0.44419,1.05,0.399,486,0.854,"morin, itraconazole, cobicistat",0.399027104313252,0.068542129310995,FALSE
"H1650","Pearson.est","DNA alkylating agent",0.43944,1.04,0.411,482,0.854,"carmustine, melphalan, cyclophosphamide, carboplatin, temozolomide, TH.302, streptozotocin",0.386158178123931,0.068542129310995,FALSE
"H1650","Pearson.est","DNA inhibitor",0.39707,0.941,0.549,395,0.976,"carmustine, oxaliplatin, melphalan, carboplatin, mechlorethamine, sangivamycin, bendamustine",0.260427655549908,0.0105501823333082,FALSE
"H1650","Pearson.est","DNA methyltransferase inhibitor",0.27229,0.654,0.901,653,1,"fdcyd, disulfiram, decitabine, RG108",0.045275209020937,0,FALSE
"H1650","Pearson.est","DNA polymerase inhibitor",0.47391,1.13,0.323,457,0.77,"idoxuridine, trifluridine, adefovir.dipivoxil, foscarnet, famciclovir",0.490797477668897,0.113509274827518,FALSE
"H1650","Pearson.est","DNA synthesis inhibitor",0.44794,1.07,0.392,226,0.854,"anisomycin, floxuridine, cyclocytidine, CB.10.277",0.406713932979543,0.068542129310995,FALSE
"H1650","Pearson.est","dopamine receptor antagonist",0.46674,1.13,0.311,280,0.77,"domperidone, amisulpride, UH.232...., sertindole, paliperidone, isofloxythepin, mesoridazine",0.507239610973163,0.113509274827518,FALSE
"H1650","Pearson.est","estrogen receptor agonist",0.30122,0.715,0.842,481,1,"PPT, estrone, erteberel, ethinyl.estradiol",0.0746879085003505,0,FALSE
"H1650","Pearson.est","estrogen receptor antagonist",0.52217,1.22,0.218,456,0.689,"raloxifene, clomifene, fulvestrant",0.661543506395395,0.161780778092374,FALSE
"H1650","Pearson.est","FGFR inhibitor",0.38321,0.91,0.587,378,0.975,"regorafenib, PD.173074, dovitinib",0.231361898752386,0.0109953843014632,FALSE
"H1650","Pearson.est","FLT3 inhibitor",0.57249,1.36,0.113,436,0.838,"gilteritinib, KW.2449, tozasertib, ponatinib, TG.02, pacritinib, lestaurtinib, TG.101348, ENMD.2076, dovitinib, sunitinib",0.94692155651658,0.0767559813697235,FALSE
"H1650","Pearson.est","glucocorticoid receptor agonist",0.55703,1.34,0.137,407,0.758,"hydrocortisone, prednisolone, ciclesonide, fluocinolone.acetonide, triamcinolone.acetonide, rimexolone, halobetasol.propionate, difluprednate, methylprednisolone, desonide, fluticasone.propionate, flumethasone.pivalate, halcinonide, triamcinolone, prednisolone.acetate",0.863279432843593,0.120330794367946,FALSE
"H1650","Pearson.est","glutamate receptor antagonist",0.29918,0.714,0.843,160,1,"diazooxonorleucine, SIB.1757",0.0741724253752577,0,FALSE
"H1650","Pearson.est","glycogen synthase kinase inhibitor",0.3524,0.848,0.669,615,1,"tideglusib, TWS.119, CHIR.99021, kenpaullone, AZD2858",0.174573882232177,0,FALSE
"H1650","Pearson.est","growth factor receptor inhibitor",0.65866,1.57,0.0297,327,0.304,"GSK1838705A, AZD3463, PHA.848125, danusertib, lestaurtinib, GSK1904529A",1.52724355068279,0.517126416391246,FALSE
"H1650","Pearson.est","HCV inhibitor",0.41615,0.992,0.493,600,0.927,"embelin, PSI.7976, mericitabine",0.30715308072277,0.0329202658555029,FALSE
"H1650","Pearson.est","HDAC inhibitor",0.22243,0.543,0.952,555,1,"PCI.24781, givinostat, trichostatin.a, panobinostat, AR.42, resminostat, belinostat, entinostat, dacinostat, R306465",0.0213630516155257,0,FALSE
"H1650","Pearson.est","histamine receptor antagonist",0.2411,0.575,0.951,923,1,"pheniramine, astemizole, tiotidine, ranitidine, ICI.162846, epinastine, BF2.649, zolantidine, levocetirizine, famotidine, tecastemizole, cimetidine, nizatidine, cyproheptadine",0.0218194830625861,0,FALSE
"H1650","Pearson.est","HMGCR inhibitor",-0.41401,-1.27,0.195,597,0.413,"lovastatin, simvastatin, atorvastatin, mevastatin, fluvastatin, pitavastatin",0.709965388637482,0.384049948343599,FALSE
"H1650","Pearson.est","HSP inhibitor",-0.35367,-1.07,0.323,1294,0.502,"VER.49009, tanespimycin, guanidine, alvespimycin, KW.2478",0.490797477668897,0.299296282854981,FALSE
"H1650","Pearson.est","JAK inhibitor",0.49631,1.18,0.27,431,0.713,"atiprimod, TG.101209, tozasertib, AZ960, TG.02, AT.9283, pacritinib, lestaurtinib, TG.101348, AZD1480, filgotinib",0.568636235841013,0.146910470148134,FALSE
"H1650","Pearson.est","KIT inhibitor",0.39485,0.928,0.566,149,0.958,"KI.8751, regorafenib, OSI.930",0.247183568811729,0.0186344909214556,FALSE
"H1650","Pearson.est","MDM inhibitor",0.82133,1.94,0,180,0.0323,"idasanutlin, nutlin.3, serdemetan, CGM097, AMG.232",Inf,1.4907974776689,TRUE
"H1650","Pearson.est","MEK inhibitor",0.86838,2.1,0,96,0.00468,"cobimetinib, AZD8330, AS.703026, PD.0325901, trametinib, TAK.733, MEK162, Ro.4987655, selumetinib, PD.318088, refametinib, PD.198306, PD.184352",Inf,2.32975414692588,TRUE
"H1650","Pearson.est","MET inhibitor",0.33916,0.808,0.71,678,1,"PHA.665752, LY2801653, AMG458",0.148741651280925,0,FALSE
"H1650","Pearson.est","microtubule inhibitor",0.31595,0.756,0.796,608,1,"vinflunine, podophyllotoxin, vinblastine, D.64131, triclabendazole, secnidazole",0.0990869322623309,0,FALSE
"H1650","Pearson.est","mTOR inhibitor",0.36306,0.853,0.689,463,1,"XL388, WAY.600, ku.0063794, LY303511, WYE.354, torin.1, PF.04691502, PP242, OSI.027, palomid.529, GSK2126458, voxtalisib, AZD8055",0.161780778092374,0,FALSE
"H1650","Pearson.est","NFkB pathway inhibitor",0.27807,0.663,0.89,621,1,"bortezomib, curcumin, betulinic.acid, parthenolide...., EVP4593, parthenolide",0.0506099933550872,0,FALSE
"H1650","Pearson.est","opioid receptor agonist",0.49789,1.18,0.251,562,0.713,"trimebutine, salvinorin.a, cebranopadol",0.600326278518962,0.146910470148134,FALSE
"H1650","Pearson.est","p38 MAPK inhibitor",0.44356,1.06,0.401,696,0.854,"skepinone.l, SB.242235, VX.702, TAK.715, CMPD.1",0.396855627379818,0.068542129310995,FALSE
"H1650","Pearson.est","PARP inhibitor",0.54492,1.29,0.159,333,0.707,"talazoparib, niraparib, AG.14361",0.798602875679548,0.150580586203101,FALSE
"H1650","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.23349,0.561,0.949,448,1,"KI.8751, regorafenib, ponatinib, dovitinib, sunitinib, crenolanib",0.0227337875727074,0,FALSE
"H1650","Pearson.est","phosphatase inhibitor",0.24877,0.592,0.941,225,1,"GSK2830371, sodium.stibogluconate",0.0264103765727431,0,FALSE
"H1650","Pearson.est","phosphodiesterase inhibitor",-0.33171,-0.984,0.428,477,0.553,"avanafil, GSK256066, EMD.53998, anagrelide, zardaverine, cilostamide, YM.976, trequinsin, papaverine, enoximone",0.368556230986828,0.257274868695302,FALSE
"H1650","Pearson.est","PI3K inhibitor",0.3958,0.931,0.564,503,0.975,"YM.201636, LY303511, buparlisib, PIK.75, ZSTK.474, GDC.0941, AZD6482, PF.04691502, GSK2126458, voxtalisib, TG.100713",0.248720896016658,0.0109953843014632,FALSE
"H1650","Pearson.est","PLK inhibitor",0.62742,1.48,0.0734,296,0.487,"rigosertib, NMS.1286937, volasertib, GSK461364",1.13430394008393,0.312471038785366,FALSE
"H1650","Pearson.est","potassium channel blocker",-0.38488,-1.18,0.252,555,0.485,"meglitinide, oleoylethanolamide, ML133, ibutilide, mepivacaine, dofetilide",0.598599459218456,0.314258261397736,FALSE
"H1650","Pearson.est","PPAR receptor agonist",-0.38793,-1.15,0.265,559,0.477,"ciprofibrate, oleoylethanolamide, fenofibrate, clofibrate, S26948, pterostilbene, GW.501516",0.576754126063192,0.321481620959886,FALSE
"H1650","Pearson.est","progesterone receptor agonist",0.32588,0.774,0.755,426,1,"melengestrol.acetate, nomegestrol.acetate, tanaproget",0.122053048370812,0,FALSE
"H1650","Pearson.est","proteasome inhibitor",0.20868,0.498,0.979,563,1,"bortezomib, ixazomib, MG.132",0.00921730819686218,0,FALSE
"H1650","Pearson.est","protein synthesis inhibitor",0.41826,0.988,0.493,120,0.912,"brefeldin.a, cycloheximide, homoharringtonine",0.30715308072277,0.0400051616715838,FALSE
"H1650","Pearson.est","protein tyrosine kinase inhibitor",0.29662,0.699,0.842,57,1,"NVP.TAE226",0.0746879085003505,0,FALSE
"H1650","Pearson.est","RAF inhibitor",0.74518,1.76,0.00585,144,0.106,"AZ.628, dabrafenib, CEP.32496, GDC.0879, LGX818, SB.590885, vemurafenib, regorafenib",2.23284413391782,0.97469413473523,TRUE
"H1650","Pearson.est","RET tyrosine kinase inhibitor",0.48011,1.14,0.284,670,0.801,"regorafenib, sunitinib, sorafenib, vandetanib",0.546681659952962,0.0963674839157623,FALSE
"H1650","Pearson.est","retinoid receptor agonist",0.4206,1,0.482,281,0.933,"tamibarotene, CD.437, adarotene",0.31695296176115,0.0301183562535,FALSE
"H1650","Pearson.est","ribonucleotide reductase inhibitor",0.54497,1.3,0.165,331,0.723,"LY2334737, triapine, clofarabine, fludarabine.phosphate, cladribine",0.782516055786094,0.140861702705469,FALSE
"H1650","Pearson.est","serotonin receptor agonist",0.28963,0.693,0.849,855,1,"NAN.190, ipsapirone, aripiprazole, SR.57227A, zolmitriptan",0.0710923097560473,0,FALSE
"H1650","Pearson.est","serotonin receptor antagonist",0.55315,1.34,0.126,274,0.758,"pirenperone, sertindole, paliperidone, SB.216641, SB.200646, lerisetron",0.899629454882437,0.120330794367946,FALSE
"H1650","Pearson.est","sodium channel blocker",0.32985,0.785,0.75,419,1,"ajmaline, mexiletine, benzethonium, quinidine, butamben",0.1249387366083,0,FALSE
"H1650","Pearson.est","src inhibitor",0.27796,0.668,0.891,51,1,"PP.2",0.0501222959631252,0,FALSE
"H1650","Pearson.est","sterol demethylase inhibitor",-0.38003,-1.13,0.256,548,0.455,"terconazole, posaconazole, lanoconazole, ketoconazole, sulconazole, chlormidazole",0.59176003468815,0.341988603342888,FALSE
"H1650","Pearson.est","TGF beta receptor inhibitor",-0.42718,-1.28,0.155,616,0.464,"SB.525334, D.4476, adaprev, SB.431542, repsox, LY2109761",0.809668301829709,0.333482019445119,FALSE
"H1650","Pearson.est","thymidylate synthase inhibitor",0.75588,1.79,0.0034,295,0.109,"carmofur, raltitrexed, trifluridine, ftorafur",2.46852108295775,0.962573502059376,TRUE
"H1650","Pearson.est","topoisomerase inhibitor",0.38246,0.899,0.601,681,0.976,"amsacrine, topotecan, fleroxacin, idarubicin, voreloxin, teniposide, TAS.103, SN.38, exatecan.mesylate, rubitecan, daunorubicin, valrubicin, nemorubicin, doxorubicin, genz.644282, licochalcone.a",0.22112552799726,0.0105501823333082,FALSE
"H1650","Pearson.est","tubulin polymerization inhibitor",0.52319,1.25,0.206,479,0.706,"verubulin, indibulin, albendazole, fosbretabulin, oxibendazole, parbendazole, podophyllotoxin, nocodazole, vindesine, vinorelbine, vinblastine, epothilone.b, BNC105, combretastatin.A.4, taltobulin, plinabulin, vincristine, dolastatin.10",0.686132779630847,0.151195298948196,FALSE
"H1650","Pearson.est","tyrosine kinase inhibitor",0.31444,0.758,0.769,708,1,"NVP.TAE226, regorafenib, bafetinib, aminopurvalanol.a, tivantinib, UNC2250, sunitinib, tyrphostin.A9, PP.121, hypericin, sorafenib, vandetanib, dasatinib",0.114073660198569,0,FALSE
"H1650","Pearson.est","VEGFR inhibitor",0.19227,0.457,0.983,796,1,"KI.8751, regorafenib, OSI.930, PD.173074, ENMD.2076, TG.100572, dovitinib, sunitinib, RAF265, sorafenib, golvatinib, vandetanib, axitinib, semaxanib, MK.2461, SAR131675, orantinib, vatalanib, pazopanib",0.00744648216786438,0,FALSE
"H1650","Pearson.est","vitamin D receptor agonist",-0.51224,-1.63,0.0192,1326,0.725,"calcitriol, maxacalcitol",1.71669877129645,0.139661993429006,FALSE
"HCC95","Pearson.est","EGFR inhibitor",-0.82172,-2.01,0,1330,0.0316,"CNX.2006, CUDC.101, TAK.285, PD.168393, GW.583340, BMS.599626, WZ8040, brigatinib, AST.1306, WZ.3146, icotinib, WZ.4002, BIBX.1382, ARRY.334543, CP.724714, AEE788, pelitinib, BMS.690514, tucatinib, rociletinib, lapatinib, neratinib, AZD8931, dacomitinib, osimertinib, erlotinib, XL.647, gefitinib, afatinib, canertinib, poziotinib",Inf,1.5003129173816,TRUE
"HCC95","Pearson.est","Abl kinase inhibitor",-0.37517,-0.915,0.568,1227,0.85,"metatinib, bosutinib, ZM.306416",0.245651664288981,0.0705810742857073,FALSE
"HCC95","Pearson.est","acetylcholine receptor agonist",0.52402,1.42,0.135,407,0.303,"tremorine, nefiracetam, oxiracetam, nicotine, pilocarpine",0.869666231504994,0.518557371497695,FALSE
"HCC95","Pearson.est","acetylcholine receptor antagonist",0.46524,1.29,0.161,19,0.395,"iododexetimide",0.79317412396815,0.40340290437354,FALSE
"HCC95","Pearson.est","adenosine receptor antagonist",-0.54128,-1.33,0.147,1443,0.455,"CGS.15943",0.832682665251824,0.341988603342888,FALSE
"HCC95","Pearson.est","adrenergic receptor agonist",0.37474,1.03,0.411,386,0.558,"ritodrine, isoxsuprine, isoetharine, oxymetazoline, norepinephrine, epinephrine, xylazine",0.386158178123931,0.253365801062421,FALSE
"HCC95","Pearson.est","adrenergic receptor antagonist",-0.22971,-0.571,0.932,1081,1,"dihydroergocristine, vincamine, carvedilol, RS.17053, imiloxan",0.0305840876460186,0,FALSE
"HCC95","Pearson.est","AKT inhibitor",-0.60551,-1.45,0.0902,1305,0.361,"CCT128930, GDC.0068, triciribine, uprosertib",1.04479346245806,0.442492798094342,FALSE
"HCC95","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.73298,-1.78,0.0147,1246,0.134,"SB.505124, CEP.37440, alectinib, NVP.TAE684, AZD3463, brigatinib",1.83268266525182,0.872895201635192,TRUE
"HCC95","Pearson.est","androgen receptor antagonist",0.63795,1.67,0.0458,222,0.201,"bicalutamide, enzalutamide",1.33913452199613,0.696803942579511,TRUE
"HCC95","Pearson.est","antioxidant",0.74347,2.06,0,200,0.0553,"benfotiamine, chlorogenic.acid, trolox, mesna",Inf,1.2572748686953,TRUE
"HCC95","Pearson.est","AP inhibitor",0.41269,1.15,0.277,22,0.442,"idronoxil",0.557520230935551,0.354577730650908,FALSE
