"Drug_set","mean_NES","sd_NES","Fisher_p","types","N_types","N_sig","sig_types","adj_Fisher_p"
"TGF beta receptor inhibitor",0.913333333333333,1.00986410726964,0.00295420917678714,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"HCC15",0.0204332801394444
"opioid receptor agonist",0.821833333333333,1.29748461776367,3.18461727594471e-05,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,3,"H1650, H520, HCC15",0.000528646467806823
"p38 MAPK inhibitor",0.770416666666667,0.865615016078514,0.204841463769956,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.472273374802954
"serotonin receptor antagonist",0.660333333333333,1.09067846552112,0.0474600935910376,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.164132823669005
"DNA methyltransferase inhibitor",0.650166666666667,1.20612805240069,0.00793405531467982,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H1650",0.0439017727412283
"acetylcholine receptor agonist",0.638416666666667,1.2013921060271,0.00332866118057934,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,3,"H1650, HCC95, H1648",0.0212522213836988
"cytochrome P450 inhibitor",0.624916666666667,1.2004672922229,0.0773388332553046,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H460",0.246889352315011
"FGFR inhibitor",0.61975,1.19126801236024,0.0124836168362864,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.0609494233771628
"DNA polymerase inhibitor",0.615916666666667,0.969000746630103,0.289899084157724,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.602943525907879
"serotonin receptor agonist",0.549,1.63596692441436,0.000342986783840368,"H1650, H1975, H1648, H2126, H520, H1299, HCC44, A549, H1703, HCC15",10,5,"H1650, H1975, H2126, H520, HCC44",0.00355848788234381
"RET tyrosine kinase inhibitor",0.454416666666667,1.11954101458291,0.15853229885422,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.395508587605083
"MEK inhibitor",0.424916666666667,1.52881471963404,0.000168928610080343,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,2,"H520, HCC44",0.00200301066238121
"ALK tyrosine kinase receptor inhibitor",0.4175,0.979026835921542,0.59787788919107,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.842195416188551
"NFkB pathway inhibitor",0.412833333333333,0.935240157133531,0.701908331500717,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.910287367414993
"dopamine receptor antagonist",0.3865,0.952093721513515,0.720138394834125,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.919561334942037
"proteasome inhibitor",0.365166666666667,1.0829952432812,0.244445707548859,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.53392088754093
"HSP inhibitor",0.345083333333333,1.37469411198097,0.000816485868795425,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,2,"H1650, HCC95",0.00752981412333559
"bromodomain inhibitor",0.322333333333333,1.30509549168796,0.00469301275409585,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H1650",0.027822861327854
"FLT3 inhibitor",0.320166666666667,1.00432617241913,0.67272001519146,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.900576794530503
"potassium channel blocker",0.3155,1.16333912041627,0.145405949708937,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H2126",0.380342911769697
"ATPase inhibitor",0.314166666666667,1.18801613344825,0.117507434219084,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.325103901339466
"sodium channel blocker",0.29275,0.848811696110831,0.966336603040099,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.995163006002476
"bacterial DNA gyrase inhibitor",0.290166666666667,1.17881302652929,0.0943927860836075,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H520",0.281356632742163
"RAF inhibitor",0.280166666666667,1.11642553253541,0.319709981358538,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.602943525907879
"antioxidant",0.277166666666667,1.32589927173518,0.0107472975039914,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.0557516058019556
"HMGCR inhibitor",0.271583333333333,1.73015613895149,1.55365513866256e-06,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,5,"HCC95, H1648, H520, H460, H1703",6.4476688254496e-05
"calcium channel blocker",0.251666666666667,0.952012732280531,0.868582317371563,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.991100527108917
"phosphodiesterase inhibitor",0.246083333333333,1.00378288655134,0.701629779750684,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.910287367414993
"HCV inhibitor",0.24425,1.23272662493279,0.0983053295123219,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.281356632742163
"benzodiazepine receptor agonist",0.229416666666667,0.907554401908912,0.94361920760397,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.995163006002476
"PARP inhibitor",0.228416666666667,1.11180790184549,0.33098974305323,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H1650",0.602943525907879
"KIT inhibitor",0.198833333333333,1.14213554627312,0.315300755570576,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.602943525907879
"AP inhibitor",0.196833333333333,1.07903541380365,0.444318244172752,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H520",0.737568285326769
"PDGFR tyrosine kinase receptor inhibitor",0.191333333333333,1.07097893480118,0.547869434390149,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.833620703105775
"PPAR receptor agonist",0.189083333333333,1.2938439879489,0.0418206406591395,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,2,"H1650, H460",0.150917964117764
"progesterone receptor agonist",0.174,1.04605127633748,0.625673367330335,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.865514824806963
"BCL inhibitor",0.150166666666667,1.06292519477947,0.575847572613479,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.838514886437171
"MDM inhibitor",0.145,1.65976723450226,7.89329835102124e-06,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,3,"HCC95, H520, HCC44",0.000163785940783691
"VEGFR inhibitor",0.134583333333333,0.885227290621231,0.973314179502101,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.995163006002476
"glycogen synthase kinase inhibitor",0.128166666666667,1.00884495910678,0.758129022004787,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.953404679187838
"tyrosine kinase inhibitor",0.127916666666667,0.828150892962841,0.995163006002476,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.995163006002476
"AKT inhibitor",0.1195,1.18522023269939,0.211749384719054,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.475005376531932
"microtubule inhibitor",0.0925833333333333,1.12085344580355,0.44055380916358,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.737568285326769
"DNA inhibitor",0.0918333333333333,0.924596209983121,0.95776117019698,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.995163006002476
"histamine receptor antagonist",0.0738333333333333,0.974568700254195,0.880207313818108,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.991100527108917
"phosphatase inhibitor",0.06675,1.05524647056333,0.643564991193952,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.875670397854066
"cyclooxygenase inhibitor",0.0648333333333334,0.877587378020335,0.986282704690237,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.995163006002476
"bacterial 50S ribosomal subunit inhibitor",0.0401666666666667,0.999421544816012,0.834133979759095,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.991100527108917
"protein synthesis inhibitor",0.00633333333333332,0.970586264568841,0.883631795253734,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.991100527108917
"adrenergic receptor agonist",0.00149999999999991,1.09716862878958,0.527743404741443,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.826466086670562
"glutamate receptor antagonist",-0.000666666666666704,1.08539011280263,0.573166268556998,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.838514886437171
"growth factor receptor inhibitor",-0.0109166666666666,1.15885040671845,0.298080376945264,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.602943525907879
"tubulin polymerization inhibitor",-0.0303333333333334,1.29596649320696,0.0352119261448867,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.139170946191695
"Aurora kinase inhibitor",-0.0324166666666666,1.09028140306931,0.526306866263577,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.826466086670562
"JAK inhibitor",-0.0428333333333334,0.950117488747704,0.919381554363839,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.995163006002476
"sterol demethylase inhibitor",-0.07425,1.35497401014994,0.0152566557027169,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.0703501346291945
"PI3K inhibitor",-0.103,0.951020122146358,0.876586807084671,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.991100527108917
"HDAC inhibitor",-0.10475,1.12594252436873,0.366112865007304,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.646539740332048
"ribonucleotide reductase inhibitor",-0.15,1.40035015101743,0.00280732489417635,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H1299",0.0204332801394444
"CDK inhibitor",-0.1545,1.23740994162661,0.095367777261869,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.281356632742163
"Abl kinase inhibitor",-0.172083333333333,0.988868357663384,0.792156974208221,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.979765350307264
"retinoid receptor agonist",-0.173166666666667,1.14609343053485,0.301230536905824,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.602943525907879
"CC chemokine receptor antagonist",-0.20775,1.07228999851211,0.552399261094188,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.833620703105775
"androgen receptor antagonist",-0.226583333333333,1.17285521530179,0.174829153168707,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.414594848942935
"adenosine receptor antagonist",-0.22725,1.27450982556218,0.162015566006902,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"H1299",0.395508587605083
"MET inhibitor",-0.2415,1.24277354771861,0.0321086086443673,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,1,"HCC95",0.133250725874124
"estrogen receptor antagonist",-0.260333333333333,1.50406469477234,6.18068573204134e-05,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.000854994859599053
"Bcr.Abl kinase inhibitor",-0.266916666666667,1.10478014746936,0.332711407152,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.602943525907879
"glucocorticoid receptor agonist",-0.312083333333333,0.911319468815642,0.880453658120564,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.991100527108917
"DNA synthesis inhibitor",-0.316583333333333,0.949657111165856,0.802699323143301,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.979765350307264
"adrenergic receptor antagonist",-0.325666666666667,0.878351900212017,0.924528929198808,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,0,"",0.995163006002476
"topoisomerase inhibitor",-0.337333333333333,1.36859551985592,0.0012103587680913,"H1650, HCC95, H1975, H1648, H2126, H520, H460, H1299, HCC44, A549, H1703, HCC15",12,3,"H1975, H1299, H1703",0.0100459777751578
