"type","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"H1650","Pearson.est","EGFR inhibitor",-0.56936,-1.51,0.0998,1075,0.499,"AST.1306, CNX.2006, gefitinib, ARRY.334543, WZ8040, dacomitinib, neratinib, PD.153035, lapatinib, AZD8931, rociletinib, osimertinib, XL.647, pelitinib, canertinib, vandetanib, WZ.3146, BMS.599626, AEE788, PD.168393, afatinib, poziotinib, TAK.285, icotinib, erlotinib, GW.583340",1.00086945871263,0.30189945437661,FALSE
"H1650","Pearson.est","Abl kinase inhibitor",0.32161,0.812,0.7,327,0.861,"KW.2449, tozasertib, imatinib",0.154901959985743,0.0649968485463452,FALSE
"H1650","Pearson.est","acetylcholine receptor agonist",0.67274,1.69,0.0297,467,0.201,"xanomeline, oxiracetam, nefiracetam, tremorine, nicotine",1.52724355068279,0.696803942579511,TRUE
"H1650","Pearson.est","acetylcholine receptor antagonist",-0.717,-1.9,0.0067,1241,0.192,"hyoscyamine, diphemanil, iododexetimide, darifenacin",2.17392519729917,0.71669877129645,TRUE
"H1650","Pearson.est","adenosine receptor antagonist",-0.2639,-0.711,0.786,1044,0.911,"MRS.1220, CGS.15943, theophylline",0.104577453960592,0.0404816230270017,FALSE
"H1650","Pearson.est","adrenergic receptor agonist",-0.39144,-1.06,0.365,1335,0.857,"methyldopa, A61603, isoetharine, xylazine",0.437707135543525,0.0670191780768018,FALSE
"H1650","Pearson.est","adrenergic receptor antagonist",-0.28236,-0.756,0.766,1287,0.932,"naftidrofuryl, metoprolol, prazosin, practolol",0.115771230367396,0.0305840876460186,FALSE
"H1650","Pearson.est","AKT inhibitor",0.4296,1.07,0.358,445,0.631,"uprosertib, GDC.0068, ONC201, CCT128930, AT7867, palomid.529",0.446116973356126,0.199970640755866,FALSE
"H1650","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.37475,-0.989,0.448,1391,0.861,"lorlatinib, AP26113",0.348721986001856,0.0649968485463452,FALSE
"H1650","Pearson.est","androgen receptor antagonist",-0.56788,-1.45,0.112,1245,0.537,"enzalutamide, flutamide",0.950781977329818,0.270025714300444,FALSE
"H1650","Pearson.est","antioxidant",0.3826,0.962,0.477,170,0.736,"mesna, benfotiamine",0.321481620959886,0.133122185662501,FALSE
"H1650","Pearson.est","AP inhibitor",-0.32144,-0.854,0.63,972,0.931,"GDC.0152, birinapant, tanshinone.i",0.200659450546418,0.0310503190186574,FALSE
"H1650","Pearson.est","ATPase inhibitor",0.47922,1.22,0.234,334,0.457,"evodiamine, ouabain, NMS.873, omeprazole, thonzonium, digoxin",0.630784142589857,0.34008379993015,FALSE
